Index;Region, development group, country or area of destination;Coverage;Data type;Location code of destination;Region, development group, country or area of origin;Location code of origin;1990;1995;2000;2005;2010;2015;2020;2024
12405;Singapore;;B;702;Malaysia;458; 191991; 287731; 414690; 445105; 615050; 749070; 788815; 886737
12406;Singapore;;B;702;NORTHERN AMERICA;905; 1661; 2532; 3751; 5335; 9674; 11881; 12484; 13981
12407;Singapore;;B;702;Canada;124;  178;  271;  402;  571; 1035; 1271; 1335; 1495
12408;Singapore;;B;702;United States of America*;840; 1483; 2261; 3349; 4764; 8639; 10610; 11149; 12486
12409;Singapore;;B;702;OCEANIA;909; 2591; 3459; 4424; 4691; 6435; 7960; 8520; 9656
12410;Singapore;;B;702;Australia/New Zealand;927; 2591; 3459; 4424; 4691; 6435; 7960; 8520; 9656
12411;Singapore;;B;702;Australia*;36; 2166; 2892; 3699; 3922; 5381; 6656; 7124; 8073
12412;Singapore;;B;702;New Zealand*;554;  425;  567;  725;  769; 1054; 1304; 1396; 1583
12413;Singapore;;B;702;Others;2003; 7970; 13191; 18444; 42399; 72012; 73827; 70637; 65021
12414;Thailand;;C R;764;World;900; 100844; 95957; 382137; 781906;1181673;1265344;1326660;1391614
12415;Thailand;;C R;764;Central and Southern Asia;1831; 1499; 1540; 4552; 10688; 16824; 18300; 19447; 20584
12416;Thailand;;C R;764;Eastern and South-Eastern Asia;1832; 91328; 85473; 177148; 563698; 950247;1058665;1147416;1230346
12417;Thailand;;C R;764;Europe and Northern America;1829; 3094; 3161; 3613; 21202; 38791; 44352; 49060; 53291
12418;Thailand;;C R;764;More developed regions;901; 3645; 4856; 7953; 38329; 68704; 78067; 85940; 93071
12419;Thailand;;C R;764;Less developed regions;902; 92276; 85318; 177360; 557259; 937158;1043250;1129983;1211150
12420;Thailand;;C R;764;Least developed countries;941;  520;  518; 95384; 461060; 826736; 939472;1034328;1120203
12421;Thailand;;C R;764;Less developed regions, excluding least developed countries;934; 91756; 84800; 81976; 96199; 110422; 103778; 95655; 90947
12422;Thailand;;C R;764;Less developed regions, excluding China;948; 3826; 3985; 107493; 487650; 867807; 983830;1081180;1169597
12423;Thailand;;C R;764;Land-locked Developing Countries (LLDC);1636;  76;  75; 18646; 73132; 127618; 143791; 157255; 169595
12424;Thailand;;C R;764;High-and-upper-middle-income countries;5503; 92095; 86402; 79859; 111910; 143959; 143767; 141287; 141461
12425;Thailand;;C R;764;Low-and-Lower-middle-income countries;5504; 3826; 3772; 105454; 483678; 861903; 977550;1074636;1162760
12426;Thailand;;C R;764;High-income countries;1503; 3645; 5069; 9992; 42301; 74608; 84347; 92484; 99908
12427;Thailand;;C R;764;Low-and-middle-income countries;1859; 92276; 85105; 175321; 553287; 931254;1036970;1123439;1204313
12428;Thailand;;C R;764;Middle-income countries;1517; 92276; 85105; 175321; 553287; 931254;1036970;1123439;1204313
12429;Thailand;;C R;764;Upper-middle-income countries;1502; 88450; 81333; 69867; 69609; 69351; 59420; 48803; 41553
12430;Thailand;;C R;764;Lower-middle-income countries;1501; 3826; 3772; 105454; 483678; 861903; 977550;1074636;1162760
12431;Thailand;;C R;764;ASIA;935; 92827; 87013; 181700; 574386; 967071;1076965;1166863;1250930
12432;Thailand;;C R;764;Eastern Asia;906; 89001; 83241; 76246; 90708; 105168; 99415; 92227; 88170
12433;Thailand;;C R;764;China;156; 88450; 81333; 69867; 69609; 69351; 59420; 48803; 41553
12434;Thailand;;C R;764;Japan;392;  551; 1695; 4340; 17127; 29913; 33715; 36880; 39780
12435;Thailand;;C R;764;Republic of Korea;410;..;  213; 2039; 3972; 5904; 6280; 6544; 6837
12436;Thailand;;C R;764;Southern Asia;5501; 1499; 1540; 4552; 10688; 16824; 18300; 19447; 20584
12437;Thailand;;C R;764;India;356; 1499; 1540; 4552; 10688; 16824; 18300; 19447; 20584
12438;Thailand;;C R;764;South-Eastern Asia;920; 2327; 2232; 100902; 472990; 845079; 959250;1055189;1142176
12439;Thailand;;C R;764;Cambodia;116;..;..; 12352; 67419; 122486; 139746; 154335; 167473
12440;Thailand;;C R;764;Lao People's Democratic Republic;418;  76;  75; 18646; 73132; 127618; 143791; 157255; 169595
12441;Thailand;;C R;764;Myanmar;104;  444;  443; 64386; 320509; 576632; 655935; 722738; 783135
12442;Thailand;;C R;764;Philippines;608;  458;  455;  965; 5423; 9881; 11283; 12469; 13537
12443;Thailand;;C R;764;Viet Nam;704; 1349; 1259; 4553; 6507; 8462; 8495; 8392; 8436
12444;Thailand;;C R;764;EUROPE;908; 2523; 2551; 2121; 15571; 29019; 33361; 37058; 40359
12445;Thailand;;C R;764;Northern Europe;924; 1694; 1732; 1157; 10176; 19194; 22142; 24661; 26902
12446;Thailand;;C R;764;United Kingdom*;826; 1694; 1732; 1157; 10176; 19194; 22142; 24661; 26902
12447;Thailand;;C R;764;Western Europe;926;  829;  819;  964; 5395; 9825; 11219; 12397; 13457
12448;Thailand;;C R;764;France*;250;  358;  346;  475; 3164; 5853; 6715; 7446; 8101
12449;Thailand;;C R;764;Germany;276;  471;  473;  489; 2231; 3972; 4504; 4951; 5356
12450;Thailand;;C R;764;NORTHERN AMERICA;905;  571;  610; 1492; 5631; 9772; 10991; 12002; 12932
12451;Thailand;;C R;764;United States of America*;840;  571;  610; 1492; 5631; 9772; 10991; 12002; 12932
12452;Thailand;;C R;764;Others;2003; 4923; 5783; 196824; 186318; 175811; 144027; 110737; 87393
12453;Timor-Leste;;B R;626;World;900; 4504; 4980; 5507; 5708; 5703; 3372; 3323; 3285
12454;Timor-Leste;;B R;626;Central and Southern Asia;1831;  130;  146;  164;  164;  160;  123;  118;  117
12455;Timor-Leste;;B R;626;Eastern and South-Eastern Asia;1832; 3258; 3601; 3987; 4128; 4119; 2378; 2337; 2309
12456;Timor-Leste;;B R;626;Latin America and the Caribbean;1830;  137;  146;  159;  173;  185;  40;  36;  36
12457;Timor-Leste;;B R;626;Australia/New Zealand;1836;  288;  317;  350;  361;  362;  239;  233;  231
12458;Timor-Leste;;B R;626;Europe and Northern America;1829;  173;  185;  201;  214;  223;  143;  138;  137
12459;Timor-Leste;;B R;626;More developed regions;901;  461;  502;  551;  575;  585;  382;  371;  368
12460;Timor-Leste;;B R;626;Less developed regions;902; 3525; 3893; 4310; 4465; 4464; 2541; 2491; 2462
12461;Timor-Leste;;B R;626;Least developed countries;941;  43;  50;  58;  57;  55;  16;  14;  14
12462;Timor-Leste;;B R;626;Less developed regions, excluding least developed countries;934; 3482; 3843; 4252; 4408; 4409; 2525; 2477; 2448
12463;Timor-Leste;;B R;626;Less developed regions, excluding China;948; 3185; 3518; 3896; 4074; 4119; 2262; 2217; 2192
12464;Timor-Leste;;B R;626;Small Island Developing States (SIDS);1637;  70;  77;  87;  91;  92;  44;  40;  40
12465;Timor-Leste;;B R;626;High-and-upper-middle-income countries;5503; 3489; 3839; 4236; 4404; 4431; 2587; 2537; 2508
12466;Timor-Leste;;B R;626;Low-and-Lower-middle-income countries;5504;  497;  556;  625;  636;  618;  336;  325;  322
12467;Timor-Leste;;B R;626;High-income countries;1503;  487;  531;  584;  609;  618;  414;  401;  398
12468;Timor-Leste;;B R;626;Low-and-middle-income countries;1859; 3499; 3864; 4277; 4431; 4431; 2509; 2461; 2432
12469;Timor-Leste;;B R;626;Middle-income countries;1517; 3499; 3864; 4277; 4431; 4431; 2509; 2461; 2432
12470;Timor-Leste;;B R;626;Upper-middle-income countries;1502; 3002; 3308; 3652; 3795; 3813; 2173; 2136; 2110
12471;Timor-Leste;;B R;626;Lower-middle-income countries;1501;  497;  556;  625;  636;  618;  336;  325;  322
12472;Timor-Leste;;B R;626;ASIA;935; 3388; 3747; 4151; 4292; 4279; 2501; 2455; 2426
12473;Timor-Leste;;B R;626;Eastern Asia;906;  340;  375;  414;  391;  345;  279;  274;  270
12474;Timor-Leste;;B R;626;China;156;  340;  375;  414;  391;  345;  279;  274;  270
12475;Timor-Leste;;B R;626;Southern Asia;5501;  130;  146;  164;  164;  160;  123;  118;  117
12476;Timor-Leste;;B R;626;Bangladesh;50;  43;  50;  58;  57;  55;  16;  14;  14
12477;Timor-Leste;;B R;626;Pakistan;586;  87;  96;  106;  107;  105;  107;  104;  103
12478;Timor-Leste;;B R;626;South-Eastern Asia;920; 2918; 3226; 3573; 3737; 3774; 2099; 2063; 2039
12479;Timor-Leste;;B R;626;Indonesia;360; 2392; 2641; 2918; 3063; 3112; 1797; 1773; 1752
12480;Timor-Leste;;B R;626;Malaysia;458;  63;  69;  76;  77;  75;  23;  21;  21
12481;Timor-Leste;;B R;626;Philippines;608;  274;  309;  349;  353;  335;  129;  126;  125
12482;Timor-Leste;;B R;626;Singapore;702;  26;  29;  33;  34;  33;  32;  30;  30
12483;Timor-Leste;;B R;626;Thailand;764;  70;  77;  85;  91;  96;  34;  32;  31
12484;Timor-Leste;;B R;626;Viet Nam;704;  93;  101;  112;  119;  123;  84;  81;  80
12485;Timor-Leste;;B R;626;EUROPE;908;  135;  148;  163;  170;  172;  120;  117;  116
12486;Timor-Leste;;B R;626;Southern Europe;925;  135;  148;  163;  170;  172;  120;  117;  116
12487;Timor-Leste;;B R;626;Portugal;620;  135;  148;  163;  170;  172;  120;  117;  116
12488;Timor-Leste;;B R;626;LATIN AMERICA AND THE CARIBBEAN;904;  137;  146;  159;  173;  185;  40;  36;  36
12489;Timor-Leste;;B R;626;Caribbean;915;  44;  48;  54;  57;  59;  12;  10;  10
12490;Timor-Leste;;B R;626;Cuba;192;  44;  48;  54;  57;  59;  12;  10;  10
12491;Timor-Leste;;B R;626;South America;931;  93;  98;  105;  116;  126;  28;  26;  26
12492;Timor-Leste;;B R;626;Brazil;76;  93;  98;  105;  116;  126;  28;  26;  26
12493;Timor-Leste;;B R;626;NORTHERN AMERICA;905;  38;  37;  38;  44;  51;  23;  21;  21
12494;Timor-Leste;;B R;626;United States of America*;840;  38;  37;  38;  44;  51;  23;  21;  21
12495;Timor-Leste;;B R;626;OCEANIA;909;  288;  317;  350;  361;  362;  239;  233;  231
12496;Timor-Leste;;B R;626;Australia/New Zealand;927;  288;  317;  350;  361;  362;  239;  233;  231
12497;Timor-Leste;;B R;626;Australia*;36;  224;  247;  273;  284;  287;  213;  209;  207
12498;Timor-Leste;;B R;626;New Zealand*;554;  64;  70;  77;  77;  75;  26;  24;  24
12499;Timor-Leste;;B R;626;Others;2003;  518;  585;  646;  668;  654;  449;  461;  455
12500;Viet Nam;;C R;704;World;900; 44079; 43835; 42837; 41728; 44322; 54413; 104728; 172430
12501;Viet Nam;;C R;704;Eastern and South-Eastern Asia;1832; 18109; 21113; 23581; 21815; 27469; 32717; 38050; 103138
12502;Viet Nam;;C R;704;More developed regions;901;  839; 1439; 2102; 2851; 3653; 4544; 5285; 14250
12503;Viet Nam;;C R;704;Less developed regions;902; 17270; 19674; 21479; 18964; 23816; 28173; 32765; 88888
12504;Viet Nam;;C R;704;Least developed countries;941; 12066; 10752; 8445; 1288; 1170;..;..;  540
12505;Viet Nam;;C R;704;Less developed regions, excluding least developed countries;934; 5204; 8922; 13034; 17676; 22646; 28173; 32765; 88348
12506;Viet Nam;;C R;704;Less developed regions, excluding China;948; 13577; 13342; 12229; 6420; 7745; 8179; 9513; 26189
12507;Viet Nam;;C R;704;High-and-upper-middle-income countries;5503; 6043; 10361; 15136; 20527; 26299; 32717; 38050; 102598
12508;Viet Nam;;C R;704;Low-and-Lower-middle-income countries;5504; 12066; 10752; 8445; 1288; 1170;..;..;  540
12509;Viet Nam;;C R;704;High-income countries;1503; 3441; 5900; 8619; 11689; 14976; 18630; 21668; 58423
12510;Viet Nam;;C R;704;Low-and-middle-income countries;1859; 14668; 15213; 14962; 10126; 12493; 14087; 16382; 44715
12511;Viet Nam;;C R;704;Middle-income countries;1517; 14668; 15213; 14962; 10126; 12493; 14087; 16382; 44715
12512;Viet Nam;;C R;704;Upper-middle-income countries;1502; 2602; 4461; 6517; 8838; 11323; 14087; 16382; 44175
12513;Viet Nam;;C R;704;Lower-middle-income countries;1501; 12066; 10752; 8445; 1288; 1170;..;..;  540
12514;Viet Nam;;C R;704;ASIA;935; 18109; 21113; 23581; 21815; 27469; 32717; 38050; 103138
12515;Viet Nam;;C R;704;Eastern Asia;906; 6043; 10361; 15136; 20527; 26299; 32717; 38050; 102598
12516;Viet Nam;;C R;704;China;156; 2602; 4461; 6517; 8838; 11323; 14087; 16382; 44175
12517;Viet Nam;;C R;704;China, Taiwan Province of China;158; 1091; 1871; 2733; 3706; 4748; 5907; 6870; 18524
12518;Viet Nam;;C R;704;Japan;392;  839; 1439; 2102; 2851; 3653; 4544; 5285; 14250
12519;Viet Nam;;C R;704;Republic of Korea;410; 1511; 2590; 3784; 5132; 6575; 8179; 9513; 25649
12520;Viet Nam;;C R;704;South-Eastern Asia;920; 12066; 10752; 8445; 1288; 1170;..;..;  540
12521;Viet Nam;;C R;704;Cambodia;116; 12066; 10752; 8445; 1288; 1170;..;..;  540
12522;Viet Nam;;C R;704;Others;2003; 25970; 22722; 19256; 19913; 16853; 21696; 66678; 69292
12523;Western Asia;;;922;World;900;5894005;6534216;7217492;7954063;10982791;14202832;16131050;17145479
12524;Western Asia;;;922;Sub-Saharan Africa;1834; 116569; 137263; 153177; 173936; 282848; 413658; 418714; 447195
12525;Western Asia;;;922;Northern Africa and Western Asia;1833;2148329;2695597;2970363;3420283;4790913;7001205;8378890;8737387
12526;Western Asia;;;922;Central and Southern Asia;1831; 832982; 966414;1138446;1395507;2322598;3166892;3593696;4136050
12527;Western Asia;;;922;Eastern and South-Eastern Asia;1832; 643725; 686254; 800528; 880866;1066881;1268791;1308623;1406417
12528;Western Asia;;;922;Latin America and the Caribbean;1830; 20096; 24846; 28572; 32154; 36089; 38695; 41607; 44067
12529;Western Asia;;;922;Oceania (excluding Australia and New Zealand);1835;  1;  2;  2;  3;  3;  2;  1;  1
12530;Western Asia;;;922;Australia/New Zealand;1836; 1527; 1910; 2222; 2721; 3409; 3333; 3455; 3622
12531;Western Asia;;;922;Europe and Northern America;1829;1217349;1232674;1176221;1109572;1064131;1071363;1166821;1345728
12532;Western Asia;;;922;More developed regions;901;1218888;1234602;1178466;1112328;1067593;1074742;1170323;1349400
12533;Western Asia;;;922;Less developed regions;902;3761690;4510358;5091065;5902714;8499279;11889197;13741484;14771067
12534;Western Asia;;;922;Least developed countries;941; 472580; 569810; 653950; 759077;1275642;1991177;2170798;2411373
12535;Western Asia;;;922;Less developed regions, excluding least developed countries;934;3289110;3940548;4437115;5143637;7223637;9898020;11570686;12359694
12536;Western Asia;;;922;Less developed regions, excluding China;948;3759921;4508450;5089174;5899574;8494725;11883206;13729940;14756430
12537;Western Asia;;;922;Land-locked Developing Countries (LLDC);1636; 444238; 675188; 664154; 534176; 463383; 628720; 865160;1070134
12538;Western Asia;;;922;Small Island Developing States (SIDS);1637;  22;  36;  50;  71;  95;  80;  73;  77
12539;Western Asia;;;922;High-and-upper-middle-income countries;5503;2726508;3207665;3425108;3632419;4177743;3860018;4369622;4723004
12540;Western Asia;;;922;Low-and-Lower-middle-income countries;5504;2253785;2536936;2843958;3382032;5388381;9103119;10541321;11396543
12541;Western Asia;;;922;High-income countries;1503; 616441; 653656; 671625; 655570; 679094; 712936; 805560; 906179
12542;Western Asia;;;922;Low-and-middle-income countries;1859;4363852;5090945;5597441;6358881;8887030;12250201;14105383;15213368
12543;Western Asia;;;922;Middle-income countries;1517;3994883;4650830;5108043;5734554;7592450;8521661;9365184;10334946
12544;Western Asia;;;922;Upper-middle-income countries;1502;2110067;2554009;2753483;2976849;3498649;3147082;3564062;3816825
12545;Western Asia;;;922;Lower-middle-income countries;1501;1884816;2096821;2354560;2757705;4093801;5374579;5801122;6518121
12546;Western Asia;;;922;Low-income countries;1500; 368969; 440115; 489398; 624327;1294580;3728540;4740199;4878422
12547;Western Asia;;;922;No income group available;1518;  285;  359;  465;  591;  748;  802;  864;  920
12548;Western Asia;;;922;AFRICA;903; 681225; 733354; 796275; 919769;1314227;1786437;1888125;2064638
12549;Western Asia;;;922;Eastern Africa;910; 90843; 107659; 122049; 141853; 245809; 372994; 374288; 398464
12550;Western Asia;;;922;Burundi;108;..;..;..;..;..;..;..;..
12551;Western Asia;;;922;Djibouti;262;  1;  2;  2;  3;  3;  2;  1;  1
12552;Western Asia;;;922;Eritrea;232; 2712; 4018; 4656; 4615; 10247; 14338; 14260; 13621
12553;Western Asia;;;922;Ethiopia;231; 59224; 62096; 69659; 80065; 116587; 187024; 193135; 206648
12554;Western Asia;;;922;Kenya;404;  10;  15;  19;  29;  49;  38;  62;  93
12555;Western Asia;;;922;Madagascar;450;  1;  2;  2;  3;  3;  2;  1;  1
12556;Western Asia;;;922;Malawi;454;  1;  2;  2;  3;  3;  2;  1;  1
12557;Western Asia;;;922;Mauritius;480;  1;  2;  2;  3;  3;  2;  1;  1
12558;Western Asia;;;922;Mozambique;508;  2;  3;  4;  6;  8;  7;  6;  6
12559;Western Asia;;;922;Seychelles;690;  1;  2;  2;  3;  3;  2;  1;  1
12560;Western Asia;;;922;Somalia;706; 25786; 37744; 43199; 52162; 111456; 160249; 154789; 164005
12561;Western Asia;;;922;South Sudan;728; 1896; 2256; 2747; 2972; 4930; 7155; 7439; 8339
12562;Western Asia;;;922;Uganda;800;  1;  2;  2;  3;  3;  2;  36;  72
12563;Western Asia;;;922;United Republic of Tanzania;834; 1143; 1421; 1629; 1797; 2228; 3913; 4292; 5396
12564;Western Asia;;;922;Zambia;894;  21;  31;  41;  63;  95;  85;  88;  93
12565;Western Asia;;;922;Zimbabwe;716;  43;  63;  83;  126;  191;  173;  176;  186
12566;Western Asia;;;922;Middle Africa;911; 5985; 5691; 4720; 2558; 2387; 2754; 3715; 4087
12567;Western Asia;;;922;Cameroon;120;  6;  9;  12;  18;  28;  24;  841;  893
12568;Western Asia;;;922;Central African Republic;140;  2;  3;  4;  6;  8;  7;  6;  6
12569;Western Asia;;;922;Chad;148; 5888; 5548; 4531; 2252; 1938; 2328; 2436; 2743
12570;Western Asia;;;922;Democratic Republic of the Congo;180;  89;  131;  173;  282;  413;  395;  432;  445
12571;Western Asia;;;922;Northern Africa;912; 564656; 596091; 643098; 745833;1031379;1372779;1469411;1617443
12572;Western Asia;;;922;Algeria;12; 22801; 25023; 24961; 24483; 24130; 26262; 32731; 40032
12573;Western Asia;;;922;Egypt;818; 355329; 365521; 403154; 493367; 714396; 961478;1018152;1109177
12574;Western Asia;;;922;Libya;434; 11841; 12599; 12120; 12916; 17032; 24019; 31547; 36886
12575;Western Asia;;;922;Morocco;504; 86108; 92488; 91120; 88157; 87063; 95102; 111496; 127236
12576;Western Asia;;;922;Sudan;729; 69367; 77159; 87043; 101380; 161700; 237632; 246449; 274203
12577;Western Asia;;;922;Tunisia;788; 19210; 23301; 24700; 25530; 27058; 28286; 29036; 29909
12578;Western Asia;;;922;Southern Africa;913; 4628; 5884; 6669; 7709; 9093; 9333; 10062; 10680
12579;Western Asia;;;922;Botswana;72;  1;  2;  2;  3;  3;  2;  1;  1
12580;Western Asia;;;922;Namibia;516;..;..;..;..;..;..;..;..
12581;Western Asia;;;922;South Africa;710; 4627; 5882; 6667; 7706; 9090; 9331; 10061; 10679
12582;Western Asia;;;922;Western Africa;914; 15113; 18029; 19739; 21816; 25559; 28577; 30649; 33964
12583;Western Asia;;;922;Benin;204;..;..;..;..;..;..;..;..
12584;Western Asia;;;922;Côte d'Ivoire;384;..;..;..;  43;  152;  1;  3;  8
12585;Western Asia;;;922;Ghana;288;  10;  15;  20;  33;  124;  38;  149;  131
12586;Western Asia;;;922;Liberia;430; 13941; 16822; 18370; 18924; 19460; 20008; 20581; 21055
12587;Western Asia;;;922;Mauritania;478;  41;  60;  71;  61;  58;  48;  52;  53
12588;Western Asia;;;922;Niger;562;  1;  2;  2;  3;  3;  2;  1;  1
12589;Western Asia;;;922;Nigeria;566; 1119; 1128; 1274; 2749; 5759; 8478; 9862; 12715
12590;Western Asia;;;922;Senegal;686;  1;  2;  2;  3;  3;  2;  1;  1
12591;Western Asia;;;922;Sierra Leone;694;..;..;..;..;..;..;..;..
12592;Western Asia;;;922;ASIA;935;3060380;3752174;4266239;4950823;7149013;10064109;11811798;12662411
12593;Western Asia;;;922;Central Asia;5500; 77504; 80188; 62328; 64292; 75938; 94735; 187208; 266727
12594;Western Asia;;;922;Kazakhstan;398; 22044; 12001; 11949; 15653; 19747; 23469; 34601; 61061
12595;Western Asia;;;922;Kyrgyzstan;417; 5736; 4151; 3876; 6312; 8921; 12685; 24060; 32091
12596;Western Asia;;;922;Tajikistan;762; 4192; 4192; 2150; 1920; 1822; 2244; 3784; 7058
12597;Western Asia;;;922;Turkmenistan;795; 4454; 4051; 3355; 7159; 11310; 16495; 57813; 66385
12598;Western Asia;;;922;Uzbekistan;860; 41078; 55793; 40998; 33248; 34138; 39842; 66950; 100132
12599;Western Asia;;;922;Eastern Asia;906; 1788; 1937; 1950; 3216; 4658; 6084; 11636; 14734
12600;Western Asia;;;922;China;156; 1769; 1908; 1891; 3140; 4554; 5991; 11544; 14637
12601;Western Asia;;;922;Dem. People's Republic of Korea;408;  5;  8;  10;  15;  23;  20;  20;  21
12602;Western Asia;;;922;Japan;392;  12;  18;  23;  35;  53;  46;  47;  50
12603;Western Asia;;;922;Mongolia;496;..;..;  22;  20;  20;  20;  19;  20
12604;Western Asia;;;922;Republic of Korea;410;  2;  3;  4;  6;  8;  7;  6;  6
12605;Western Asia;;;922;Southern Asia;5501; 755478; 886226;1076118;1331215;2246660;3072157;3406488;3869323
12606;Western Asia;;;922;Afghanistan;4; 8364; 10983; 11522; 16794; 32085; 85748; 163323; 196204
12607;Western Asia;;;922;Bangladesh;50; 94437; 133577; 176571; 204563; 378531; 542821; 587314; 668215
12608;Western Asia;;;922;India;356; 343924; 412642; 524674; 692704;1212314;1608237;1682323;1890273
12609;Western Asia;;;922;Iran (Islamic Republic of);364; 46228; 62439; 65384; 53346; 54407; 62362; 100207; 145716
12610;Western Asia;;;922;Nepal;524; 1621; 1938; 2327; 9733; 23338; 62657; 84966; 92829
12611;Western Asia;;;922;Pakistan;586; 134919; 159915; 196655; 245451; 419931; 560289; 604732; 681320
12612;Western Asia;;;922;Sri Lanka;144; 125985; 104732; 98985; 108624; 126054; 150043; 183623; 194766
12613;Western Asia;;;922;South-Eastern Asia;920; 641937; 684317; 798578; 877650;1062223;1262707;1296987;1391683
12614;Western Asia;;;922;Brunei Darussalam;96;  1;  2;  2;  3;  3;  2;  1;  1
12615;Western Asia;;;922;Indonesia;360; 299710; 304720; 371163; 393308; 411464; 426644; 440191; 476083
12616;Western Asia;;;922;Lao People's Democratic Republic;418;  1;  2;  2;  3;  3;  2;  1;  1
12617;Western Asia;;;922;Malaysia;458;  7;  11;  14;  20;  31;  27;  28;  30
12618;Western Asia;;;922;Myanmar;104; 77109; 76476; 75849; 75238; 74623; 76036; 74644; 73742
12619;Western Asia;;;922;Philippines;608; 262740; 300553; 348028; 405855; 571193; 753585; 775435; 834337
12620;Western Asia;;;922;Singapore;702;  6;  9;  12;  18;  28;  24;  25;  27
12621;Western Asia;;;922;Thailand;764; 2054; 2525; 3480; 3167; 4809; 6329; 6604; 7400
12622;Western Asia;;;922;Viet Nam;704;  309;  19;  28;  38;  69;  58;  58;  62
12623;Western Asia;;;922;Western Asia;922;1583673;2099506;2327265;2674450;3759534;5628426;6909479;7119944
12624;Western Asia;;;922;Armenia;51; 84391; 178154; 173546; 79953; 77505; 74954; 72389; 66485
12625;Western Asia;;;922;Azerbaijan;31; 111235; 237578; 247663; 206449; 77467; 73598; 113595; 188556
12626;Western Asia;;;922;Bahrain;48; 4667; 4786; 4996; 5142; 5697; 6285; 6405; 6661
12627;Western Asia;;;922;Cyprus;196; 4750; 5159; 5567; 7082; 8669; 10352; 13591; 16185
12628;Western Asia;;;922;Georgia;268; 119599; 112606; 96050; 87852; 81518; 74412; 65781; 59007
12629;Western Asia;;;922;Iraq;368; 72224; 78515; 72978; 248136; 881479; 312841; 488408; 465216
12630;Western Asia;;;922;Israel;376; 55685; 54710; 53747; 45993; 37164; 36721; 36775; 36744
12631;Western Asia;;;922;Jordan;400; 110844; 118982; 133041; 150487; 192294; 229348; 237825; 256579
12632;Western Asia;;;922;Kuwait;414; 14934; 16345; 18156; 19240; 28402; 33287; 37378; 43467
12633;Western Asia;;;922;Lebanon;422; 28802; 27167; 30939; 34933; 42737; 49140; 52384; 62678
12634;Western Asia;;;922;Oman;512; 4683; 4602; 4522; 5447; 5438; 6197; 6081; 6076
12635;Western Asia;;;922;Qatar;634; 5169; 5134; 5123; 5558; 6205; 6813; 6936; 7194
12636;Western Asia;;;922;Saudi Arabia;682; 17142; 18976; 21398; 17156; 20166; 22397; 39769; 45788
12637;Western Asia;;;922;State of Palestine;275; 716480; 953352;1151097;1360001;1394933;1608446;1716756;1782179
12638;Western Asia;;;922;Syrian Arab Republic;760; 70760; 83808; 91934; 156702; 497800;2422911;3320741;3307360
12639;Western Asia;;;922;Türkiye;792; 29486; 36273; 33708; 33558; 37391; 41599; 45855; 49275
12640;Western Asia;;;922;United Arab Emirates;784; 21893; 23831; 27262; 22621; 26756; 28415; 32267; 36803
12641;Western Asia;;;922;Yemen;887; 110929; 139528; 155538; 188140; 337913; 590710; 616543; 683691
12642;Western Asia;;;922;EUROPE;908;1180987;1189875;1127176;1052544; 996502; 996954;1086193;1257425
12643;Western Asia;;;922;Eastern Europe;923; 830211; 813702; 727439; 660149; 601885; 608864; 652547; 761223
12644;Western Asia;;;922;Belarus;112; 26009; 21887; 18441; 15569; 13151; 14047; 15415; 16436
12645;Western Asia;;;922;Bulgaria;100; 250443; 258071; 264925; 249436; 233142; 217506; 211893; 206905
12646;Western Asia;;;922;Czechia;203; 9328; 9926; 9635; 9091; 8641; 9307; 10166; 10933
12647;Western Asia;;;922;Hungary;348; 9416; 9412; 8499; 7495; 6646; 7130; 7750; 8265
12648;Western Asia;;;922;Poland;616; 62798; 58525; 47893; 38043; 29835; 31854; 34549; 36625
12649;Western Asia;;;922;Republic of Moldova*;498; 19114; 21406; 14735; 13438; 13310; 16730; 19116; 21267
12650;Western Asia;;;922;Romania;642; 89257; 92691; 84894; 74676; 66023; 67573; 72728; 78318
12651;Western Asia;;;922;Russian Federation;643; 242781; 216596; 170441; 153582; 138987; 143362; 164995; 230011
12652;Western Asia;;;922;Slovakia;703;  20;  30;  39;  60;  90;  81;  83;  88
12653;Western Asia;;;922;Ukraine*;804; 121045; 125158; 107937; 98759; 92060; 101274; 115852; 152375
12654;Western Asia;;;922;Northern Europe;924; 44473; 49899; 50858; 55731; 68434; 72341; 76913; 84974
12655;Western Asia;;;922;Denmark*;208;  562;  728;  920; 1142; 1403; 1542; 1702; 1851
12656;Western Asia;;;922;Estonia;233;  997;  875;  494;  411;  276;  146;  109;  112
12657;Western Asia;;;922;Finland*;246;  338;  440;  509;  607;  750;  723;  740;  770
12658;Western Asia;;;922;Iceland;352;  6;  9;  12;  18;  28;  24;  25;  27
12659;Western Asia;;;922;Ireland;372;  123;  181;  239;  364;  551;  500;  513;  544
12660;Western Asia;;;922;Latvia;428; 5589; 6026; 4293; 2985; 1975; 2077; 2243; 2370
12661;Western Asia;;;922;Lithuania;440; 8866; 8523; 5409; 3273; 1667; 1761; 1920; 2039
12662;Western Asia;;;922;Norway*;578;  31;  46;  60;  91;  138;  124;  127;  135
12663;Western Asia;;;922;Sweden;752;  667;  853;  956; 1120; 1355; 1312; 1345; 1397
12664;Western Asia;;;922;United Kingdom*;826; 27294; 32218; 37966; 45720; 60291; 64132; 68189; 75729
12665;Western Asia;;;922;Southern Europe;925; 147136; 135594; 123412; 100694; 78653; 55202; 55003; 55704
