entity_qid;iso3;source
Q2984759;PAK;p27
Q298793;USA;p27
Q29896;IND;p27
Q2991716;UKR;p17
Q3010694;DOM;p19_path
Q3022830;FRA;p27
Q3034053;YMD;p27
Q3049012;PAK;p27
Q30605400;USA;p27
Q307226;EGY|SYR;p27
Q3074768;FRA;p27
Q307540;TUR;p27
Q307637;YEM;p27
Q3076765;TUR;p17
Q3083980;FRA;p27
Q30942140;TWN|USA;p27
Q310188;USA;p27
Q310566;ESP;p27
Q310650;DEU;p131_to_p17
Q3108071;ITA;p19_path
Q311436;ARG;p27
Q311954;ESP;p27
Q311996;NOR;p27
Q312026;FRA;p27
Q312046;GRC;p27
Q31206273;GBR;p27
Q312304;ESP;p27
Q312326;ITA;p19_path
Q312391;FRA;p27
Q312495;SUN;p27
Q312564;GBR;p27
Q312685;GBR;p27
Q313005;NOR;p27
Q313772;USA;p27
Q314781;SAU;p19_path
Q315172;TUR;p27
Q315507;ARG;p27
Q315540;GBR;p27
Q315999;GBR;p27
Q3160600;NGA;p27
Q3163736;FRA;p27
Q3163789;FRA;p27
Q3164237;FRA;p27
Q316471;USA;p27
Q3165715;FRA;p27
Q317011;TUR;p27
Q317420;YEM;p27
Q317752;YEM;p27
Q317797;AFG;p27
Q3179783;TUR;p27
Q3181518;GBR;p27
Q318413;USA|ISR;p27
Q318471;GBR;p27
Q3187635;BRA|ARG;p27
Q319156;ITA;p27
Q320014;NLD;p27
Q3202252;PAK;p27
Q3206845;VNM;p27
Q3249936;PAK;p19_path
Q326945;ITA;p27
Q3273844;PAK;p27
Q3278067;KHM;p17
Q328331;TUR;p27
Q3317096;ESP;p27
Q33240;CAN|USA;p27
Q333836;FRA;p19_path
Q33391;UKR|SUN|MEX;p27
Q333981;PAK;p27
Q3340513;FRA;p27
Q33409516;GBR;p27
Q33409663;GBR;p27
Q334308;PRK;p27
Q334518;MNG;p27
Q334846;GBR;p27
Q334974;GBR;p27
Q335008;GBR;p27
Q335033;GBR;p27
Q335063;GBR;p27
Q335198;JPN;p27
Q335248;GBR;p27
Q336050;GBR;p27
Q3362792;SAU;p27
Q336347;IRQ;p27
Q3364420;DNK;p27
Q336819;GBR;p27
Q336823;ESP;p27
Q3370284;FRA;p27
Q3373871;VNM;p27
Q3382803;TUR;p17
Q3386075;FRA;p27
Q338958;LBN;p17
Q340803;MNG;p17
Q3421072;USA;p27
Q3424805;JPN;p27
Q3432264;ITA;p27
Q3445057;USA;p27
Q346551;USA;p27
Q348632;GBR;p27
Q349062;FRA;p27
Q349440;JPN;p27
Q3507451;CSK;p27
Q350910;ESP;p27
Q3524269;FRA;p27
Q3529340;MLI;p27
Q35314;SUN;p27
Q356361;GBR;p27
Q356659;ARG;p27
Q3568975;USA;p27
Q3572016;ESP;p27
Q3572054;ESP;p17
Q35828952;PAK;p27
Q3591105;FRA;p27
Q3595860;IND;p27
Q359679;SYR;p27
Q359684;SYR;p27
Q359711;SYR;p27
Q359936;ESP;p27
Q360827;DNK;p27
Q362268;YEM;p27
Q3623761;TUR;p17
Q36380;ITA;p159_to_p131_to_p17
Q3647809;SUN;p27
Q36788;SAU;p19_path
Q368605;JPN;p27
Q369251;SYR;p27
Q37067;TUR;p19_path
Q370815;SUN;p27
Q371100;FRA;p27
Q371833;ESP;p27
Q371935;ISR;p27
Q372192;TWN;p27
Q3731008;ITA;p19_path
Q3732906;ITA;p17
Q373344;IRN;p27
Q374532;USA;p27
Q375309;SWE;p27
Q379812;GBR;p27
Q379850;IRQ;p159_to_p131_to_p17
Q379997;IRN;p19_path
Q380573;TWN;p27
Q380932;NLD;p27
Q380938;ZAF;p27
Q3820210;ESP;p17
Q385236;JPN;p27
Q3853875;TUR;p17
Q390344;USA;p27
Q39168;GBR;p27
Q3934817;TUR;p17
Q39524;EGY|SYR;p27
Q3965135;ITA;p19_path
Q400701;YEM;p27
Q401421;TUR;p27
Q403421;SYR;p27
Q403494;EGY;p27
Q403707;SYR;p27
Q4083684;PAK;p17
Q40857991;GBR;p27
Q4114099;SUN|RUS;p27
Q4115045;YEM;p27
Q4115406;GBR;p27
Q4117110;IRQ;p27
Q41300;VAT;p17
Q4147143;RUS;p19_path
Q4148796;SUN;p27
Q4151996;UKR;p19_path
Q41585;POL;p27
Q4160262;RUS|UKR|SUN|ISR;p27
Q4173649;SUN;p27
Q42013;EGY|SYR;p27
Q4202612;SUN;p27
Q4216981;YEM;p27
Q4217727;SUN;p27
Q42331664;FRA;p27
Q4242058;SUN;p27
Q42585;AUT;p17
Q426575;ITA;p17
Q42904;SUN|RUS;p27
Q4290455;PRT;p27
Q4303510;AUS;p27
Q430365;ESP;p27
Q4330782;UKR;p17
Q4343894;IDN;p27
Q4360863;SUN;p27
Q43723;ISR;p27
Q438839;RUS|SUN;p27
Q439984;USA;p27
Q441405;DEU;p27
Q442162;FRA;p27
Q44329;SYR;p27
Q445056;FRA;p27
Q4463900;SUN;p27
Q44694121;VEN;p27
Q447173;SYR;p27
Q44741;ESP;p27
Q44819;IDN;p27
Q449551;ESP;p27
Q4499458;BLR|SUN;p27
Q4520121;TWN;p17
Q4520553;PAK;p27
Q4523722;AFG;p17
Q453571;FRA;p27
Q453589;FRA;p27
Q4539761;YEM;p27
Q45603977;TWN;p27
Q456259;HTI;p19_path
Q456648;TWN;p27
Q456977;SYR;p27
Q4571518;NOR;p27
Q4579838;ESP;p27
Q459533;NLD;p27
Q460186;USA;p27
Q460399;JPN;p27
Q460440;USA;p27
Q461823;USA;p27
Q46597025;POL;p17
Q46597037;POL;p17
Q4664847;JPN;p27
Q4665261;PAK;p27
Q4665997;AFG;p27
Q4666087;YEM;p19_path
Q4666341;SOM;p27
Q4668307;PAK;p27
Q467150;ISR;p27
Q467177;ISR;p27
Q467782;GBR;p27
Q467822;GBR;p27
Q4682872;PAK;p19_path
Q469127;FRA;p19_path
Q469396;PRK;p27
Q469432;PRK;p27
Q469797;ZAF;p27
