conflict_qid;conflict_label;checked_via
Q58338711;Caso Balda;both
Q99593199;Serviteurs de l'Etat;both
Q65952774;Munch Affair;both
Q109424705;Arcane Group;both
Q109011890;affaire de la barge Tremblay;both
Q56313757;affaire Petrocaribe;both
Q107352355;Descobertas de cemitérios de indígenas em escolas canadenses;both
Q109368601;宮崎早野論文問題;both
Q660843;Invasão de Anjouan de 2008;both
Q97162196;Ñeñepolítica;both
Q107805355;1994 Malaysian football scandal;both
Q64590845;Disputes about the military cemetery in Valea Uzului;both
Q81934426;Houston Astros sign stealing scandal;both
Q109424698;Diaper price collusion in Chile;both
Q65266908;広島中央署8572万円盗難事件;both
Q109643200;Cartel del Fuego;both
Q107122277;Astongate;both
Q97929131;Li Mei-jhen plagiarism scandal;both
Q1414384;Invasão húngara da Ucrânia dos Cárpatos;both
Q714644;Invasão italiana da Albânia;both
Q107296488;Caso Cochinilla;both
Q1017959;Lü Meng's invasion of Jing Province;both
Q100742153;日本学術会議の任命拒否;both
Q12230901;Sexual abuse scandal in the Catholic archdiocese of Chicago;both
Q11456181;富士見産婦人科病院事件;both
Q2570116;Drenther Crusade;both
Q11483891;消失的年金;both
Q11482254;平和相互銀行事件;both
Q8079835;Číhošť miracle;both
Q8072730;Zircon affair;both
Q11659003;障害者郵便制度悪用事件;both
Q11255364;Yahoo! BB顧客情報漏洩事件;both
Q16057981;Caso de aborto de menina brasileira em 2009;both
Q11572888;Oh-shlet incident;both
Q7965940;Walter Reed Army Medical Center neglect scandal;both
Q7921192;Vere Street Coterie;both
Q11596904;稻叶事件;both
Q11350042;LASIK surgery mass infection incident;both
Q11319403;テラメント事件;both
Q11665957;飛鳥会事件;both
Q7685339;Tarakeswar affair;both
Q11286849;伊藤萬事件;both
Q11090059;The Building of Hemmings ＆ Berkley Co. scandal;both
Q11640061;Shūkan Bunshun smoking scandal;both
Q12590279;ネクセン・ヒーローズ トレード問題;both
Q11235480;NHK职员内幕交易案;both
Q8061340;Yunnan hide-and-seek incident;both
Q7989232;Westminster cemeteries scandal;both
Q2669581;Loon War;both
Q11582610;看護師国家試験問題漏洩事件;both
Q11452143;宙に浮いた年金記録;both
Q11549867;Einin no Tsubo scandal;both
Q11469233;山本病院事件;both
Q7732030;Steubenville High School rape case;both
Q8026436;Winterbourne View hospital abuse;both
Q12622746;2012 South Korean professional baseball match-fixing scandal;both
Q13042683;Medicus;both
Q11406785;千葉銀行レインボー事件;both
Q2606574;Revolução Acriana;both
Q11314939;綜合建設業貪污事件;both
Q11376271;Human Pavilion incident;both
Q10274775;Escândalo Gugu-PCC;both
Q15222192;Australia-Indonesia spying scandal;both
Q7596633;Stafford Hospital scandal;both
Q10711982;Vadstena Rumble;both
Q2935421;Conquista francesa de Marrocos;both
Q10946230;宇昌案;both
Q11438739;大藏省接待貪污事件;both
Q7895780;University of Michigan basketball scandal;both
Q16010432;Anderlecht 3 x 0 Nottingham Forest;both
Q7458743;Sexual abuse scandal in the Catholic diocese of Palm Beach (Florida);both
Q11499352;教科書誤報事件;both
Q10854893;Vリーグ八百長事件;both
Q15980986;2004年韓國兵役逃避事件;both
Q7458746;Sexual abuse scandal in the Catholic diocese of Savannah (Georgia, USA);both
Q11324623;喵喵事件;both
Q8193836;HIV-tainted blood scandal;both
Q7458745;Sexual abuse scandal in the Catholic diocese of Peoria (Illinois);both
Q11477498;川上五千万円念書事件;both
Q12230893;Sexual abuse scandal in Miami archdiocese;both
Q11483885;年金改ざん問題;both
Q2802246;Dutch Railway strike 1944;both
Q2342578;April–May Strike;both
Q1683026;German strike of January 1918;both
Q3118357;Villeneuve-Saint-Georges strike;both
Q2890757;Jiu Valley miners' strike of 1977;both
Q28220486;1920 Bolivian coup d'état;both
Q1046794;Greve dos roteiristas dos Estados Unidos;both
Q1804029;Bryant & May workers' strike, 1888;both
Q1090887;2006 Oaxaca protests;both
Q64764482;Ende Gelände June 2019;both
Q60943254;"""Marsch der Frauen"" counter protest";both
Q1751011;1932 Berlin transport strike;both
Q2305758;Sozialisierungsbewegung im Ruhrgebiet;both
Q1153853;1913 Paterson silk strike;both
Q25428964;Golpe de Estado de Dezembro de 1917;both
Q586082;February strike;both
Q1587277;Revolução de 1934;both
Q99848315;Dannenrod forest protest at Hesse representation Berlin 2020-10-02;both
Q944253;1946 Pilbara strike;both
Q2355615;Deir el-Medina strikes;both
Q3118368;1981 Major League Baseball strike;both
Q2999806;Railroad Strikes of 1903;both
Q3118379;Greve dos animadores da Disney;both
Q25043458;Golpe de Estado no Burundi em julho de 1966;both
Q99673584;Ende Gelände 2020;both
Q3118367;Asbestos Strike;both
Q1727754;Morosow-Streik;both
Q61474340;Ende Gelände protest Berlin 01-02-2019;both
Q25043351;Golpe de Estado no Lesoto em 1991;both
Q819359;Bergarbeiterstreik von 1872;both
Q27628409;Qi coup d'état of 860 BC;both
Q327812;Milk strike;both
Q246080;Gurindji strike;both
Q1634875;Canton-Hong Kong strike;both
Q1311609;1948 Queensland Railway strike;both
Q1573023;Hamburg Docker's Strike 1896/97;both
Q69400552;1st of May in Berlin in 2018 Kreuzberg;both
Q73299290;Sand im Getriebe;both
Q1985730;Greve de Homestead;both
Q819362;Bergarbeiterstreik von 1889;both
Q448920;Locaute de Dublin de 1913;both
Q25043463;1968 Republic of the Congo coup d'état;both
Q1140049;Crimmitschau strike;both
Q105082586;Pro-Alexei Navalny Rallies in Russia, 31 January 2021;both
Q47253795;Ende Gelände 2017;both
Q1410411;Knysna fiasco;both
Q60945918;"""Seebrücke"" Blockade of the Oberbaumbrücke in Berlin";both
Q2311228;1941 Nord-Pas-de-Calais miners' strike;both
Q185642;Domingo Sangrento;both
Q24960281;golpe de Estado na Argentina em septembro de 1955;both
Q77338412;Ende Gelände Lusatia November 2019;both
Q3118364;Preston strike of 1853–4;both
Q25340151;Revolução Febrerista;both
Q819365;Bergarbeiterstreik von 1905;both
Q2801252;huelga médica de 1964 en Bélgica;both
Q3118386;1912 Lawrence Textile Strike;both
Q1348639;Greve de Pullman;both
Q256640;Physicians' strike in Germany 2006;both
Q790519;Aventine Secession;both
Q7229419;Poplar Rates Rebellion;both
Q57831711;Ende Gelände 2018;both
Q578858;Massacre do Lena;both
Q27628137;Golpe de Estado na Libéria em 1980;both
Q622092;Aprilstreiks 1917;both
Q310631;1942–44 musicians' strike;both
Q664653;Huelga de Nueva Rosita;both
Q24659885;Ende Gelände 2016;both
Q2355609;Streik um die Lohnfortzahlung im Krankheitsfall;both
Q3118381;1980 New York City transit strike;both
Q1030779;Greve de Cananea;both
Q3118377;1966 New York City transit strike;both
Q3118361;Murdochville strike;both
Q23786493;Ende Gelände 2015;both
Q1144063;Cuno strikes;both
Q100708843;Burning photos of the king of Spain;both
Q819363;Bergarbeiterstreik von 1912;both
Q105137806;Pro-Alexei Navalny Rallies in Russia, 23 January 2021;both
Q2981924;Coingate scandal;both
Q5928315;Huddersfield workhouse scandal;both
Q2583073;Lekkerkerk soil pollution;both
Q2679657;Outreau trial;both
Q4602635;2004 Chinese lottery scandal;both
Q5297324;doping in the United States;both
