iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
MWI;Malawi;África;0.118484;Mulanje Massif;3002.0;Lilongué;-13.983333333;33.783333333;;;país de África;
MYS;Malásia;Ásia;0.330803;Monte Kinabalu;4095.0;Kuala Lumpur;3.147777777;101.695277777;;;país da Ásia;
NAM;Namíbia;África;0.825615;Monte Brandberg;2573.0;Windhoek;-22.57;17.083611111;;;país na África Austral;
NER;Níger;África;1.267;Monte Idoukal-n-Taghès;2022.0;Niamey;13.515;2.1175;;;país de África;
NGA;Nigéria;África;0.923768;Chappal Waddi;2419.0;Abuja;9.055555555;7.491388888;;;país de África;
NIC;Nicarágua;América do Norte e América Central;0.12034;Cerro Mogotón;2107.0;Manágua;12.156383333;-86.272986111;;;país na América Central;
NIU;Niue;Oceania;0.00026;Niue Highest Point;68.0;Alofi;-19.056;-169.921;;;país insular da Oceania;
NLD;Reino dos Países Baixos;Europa;0.042201;Mount Scenery;870.0;Amesterdão;52.366666666;4.883333333;;;estado soberano e monarquia constitucional;
NOR;Noruega;Europa;0.385207;Galdhøpiggen;2468.854;Oslo;59.913333333;10.738888888;;;país no norte da Europa;
NPL;Nepal;Ásia;0.147181254346;Evereste;8848.86;Catmandu;27.71;85.32;;;país na Ásia Meridional;
NRU;Nauru;Oceania;2.1e-05;Janor;70.0;Yaren;-0.5477;166.920867;;;país na Oceania;
NZL;Nova Zelândia;Oceania;0.268021;Monte Cook;3724.0;Wellington;-41.288888888;174.777222222;;;país na Oceania;
NZL;Nova Zelândia;Oceania;0.268021;Monte Cook;3724.0;Wellington;-41.288888888;174.777222222;;;país na Oceania;
NZL;Nova Zelândia;Austrália;0.268021;Monte Cook;3724.0;Wellington;-41.288888888;174.777222222;;;país na Oceania;
OMN;Omã;Ásia;0.3095;Jabal Shams;3018.0;Mascate;23.613888888;58.592222222;;;país do médio oriente;
PAK;Paquistão;Ásia;0.881913;K2;8611.0;Islamabad;33.698888888;73.036944444;;;país asiático;
PAN;Panamá;América Central;0.0741773;Barú;3475.0;Cidade do Panamá;8.971111111;-79.534722222;;;país na América Central;
PAN;Panamá;América do Sul;0.0741773;Barú;3475.0;Cidade do Panamá;8.971111111;-79.534722222;;;país na América Central;
PER;Peru;América do Sul;1.285216;Huascarán;6768.0;Lima;-12.06;-77.0375;;;país na América do Sul;
PHL;Filipinas;Ásia;0.343448;Monte Apo;2954.0;Manila;14.595833333;120.977222222;;;país da Ásia;
PLW;Palau;Oceania;0.00046555036200000003;Monte Ngerchelchuus;242.0;Ngerulmud;7.500556;134.624167;;;país insular na Micronésia;
PLW;Palau;Oceania;0.00046555036200000003;Monte Ngerchelchuus;242.0;Ngerulmud;7.500556;134.624167;;;país insular na Micronésia;
PNG;Papua-Nova Guiné;Oceania;0.46284;Monte Wilhelm;4509.0;Port Moresby;-9.478888888;147.149444444;;;país na Oceania;
POL;Polónia;Europa;0.312683;Rysy;2499.0;Varsóvia;52.23;21.011111111;;;país da Europa Central;
POL;Polónia;Europa;0.312683;Rysy;2501.0;Varsóvia;52.23;21.011111111;;;país da Europa Central;
PRK;Coreia do Norte;Ásia;0.12054;Montanha Baekdu;2744.0;Pyongyang;39.016666666;125.7475;;;país asiático;
PRT;Portugal;Europa;0.092225;Montanha do Pico;2351.0;Lisboa;38.708042;-9.139016;;;país no sudoeste da Europa com 2 arquipélagos povoados no Oceano Atlântico;
PRY;Paraguai;América do Sul;0.406756;Cerro Peró;842.0;Assunção;-25.28;-57.634444444;;;país na América do Sul;
PSE;Estado da Palestina;Ásia;0.00602;Mount Nabi Yunis;1026.0;Jerusalém Oriental;31.78336;35.23388;;;país na Ásia Ocidental;
PSE;Estado da Palestina;Ásia;0.00602;Mount Nabi Yunis;1026.0;Ramallah;31.896944444;35.201666666;;;país na Ásia Ocidental;
QAT;Catar;Ásia;0.011437;Qurayn Abu al Bawl;103.0;Doha;25.286205555;51.529436111;;;país na Ásia Ocidental;
ROU;Roménia;Europa;0.238397;Monte Moldoveanu;2544.0;Bucareste;44.413361111;26.097777777;;;país da Europa;
