iso3;qid_country;lang_qid;lang_label
AUS;Q408;df76b32e9bc48bfa4e57461b6d9cc860;http://www.wikidata.org/.well-known/genid/df76b32e9bc48bfa4e57461b6d9cc860
AUS;Q408;Q10550697;Kuuku Ya'u
AUS;Q408;Q10551249;Kwini
AUS;Q408;Q10575155;Matngele
AUS;Q408;Q10576338;Mandandanyi
AUS;Q408;Q10576387;Mangerr
AUS;Q408;Q10577017;Margany
AUS;Q408;Q10577273;Maridan
AUS;Q408;Q10577274;Maridjabin
AUS;Q408;Q10577424;Marimanindji
AUS;Q408;Q10577443;Maringarr
AUS;Q408;Q10577501;Mariyedi
AUS;Q408;Q10577724;Marriammu
AUS;Q408;Q10577823;Marti Ke
AUS;Q408;Q10586712;Miwa
AUS;Q408;Q10590149;Muluridyi
AUS;Q408;Q10600380;Ngarinman
AUS;Q408;Q10600396;Nhuwala
AUS;Q408;Q10604066;Nukunu
AUS;Q408;Q10604331;Nyangga
AUS;Q408;Q10631925;Pini
AUS;Q408;Q10631927;Pinigura
AUS;Q408;Q10632026;Pintiini
AUS;Q408;Q10632195;Pirlatapa
AUS;Q408;Q10706951;Tyaraity
AUS;Q408;Q10710522;Urningangg
AUS;Q408;Q10719025;Wadjigu
AUS;Q408;Q10719110;Wakka Wakka
AUS;Q408;Q10719289;Wariyangga
AUS;Q408;Q10720035;Wik-Epa
AUS;Q408;Q10720036;Wik-Iiyanh
AUS;Q408;Q10720037;Wik-Keyangan
AUS;Q408;Q10720039;Wik-Me'anha
AUS;Q408;Q10720045;Wikngenchera
AUS;Q408;Q10720050;Wilawila
AUS;Q408;Q10723405;Língua nhangu
AUS;Q408;Q10723416;Yangman
AUS;Q408;Q10723454;Yawarawarga
AUS;Q408;Q10723541;Yindjilandji
AUS;Q408;Q10728232;Eastern Arrernte
AUS;Q408;Q12645549;Western Arrarnta
AUS;Q408;Q12953954;Umpila
AUS;Q408;Q13553748;Djauan
AUS;Q408;Q13586632;Kariyarra
AUS;Q408;Q13591127;Narungga
AUS;Q408;Q13591670;Wulna
AUS;Q408;Q16111302;Andajin
AUS;Q408;Q16112737;Ayerrerenge
AUS;Q408;Q16211970;Yolŋu Sign Language
AUS;Q408;Q16334334;Língua Yugambeh
AUS;Q408;Q16825981;Aghu Tharrnggala
AUS;Q408;Q16841801;Bigambal
AUS;Q408;Q16891606;Nimanburru
AUS;Q408;Q16897028;Ngadjuri
AUS;Q408;Q16905490;Tagalaka
AUS;Q408;Q16919427;Nyiyaparli
AUS;Q408;Q16920653;Ngayawung
AUS;Q408;Q16954400;Darumbal
AUS;Q408;Q16960599;Dhungaloo
AUS;Q408;Q16978087;Pirriya
AUS;Q408;Q16979305;Turrubal
AUS;Q408;Q17059380;Yirandhali
AUS;Q408;Q18472819;Língua wemba wemba
AUS;Q408;Q18650060;Manda
AUS;Q408;Q20050850;Dhuwal
AUS;Q408;Q22893424;Mineng
AUS;Q408;Q22918391;Bibbulman
AUS;Q408;Q24090240;Miriwoong Sign Language
AUS;Q408;Q31722921;Yawijibaya
AUS;Q408;Q31752631;Butchulla
AUS;Q408;Q32571318;Nhirrpi
AUS;Q408;Q33060509;Ngantangarra
AUS;Q408;Q33060513;Mayawali
AUS;Q408;Q33060526;Punthamara
AUS;Q408;Q33060533;Wangkayutyuru
AUS;Q408;Q33061540;Yarluyandi
AUS;Q408;Q33087049;Nganakarti
AUS;Q408;Q33103591;Pinjarup
AUS;Q408;Q33110152;Thiin
AUS;Q408;Q33110188;Wajuk
AUS;Q408;Q34295800;Arakwal
AUS;Q408;Q46264708;Yardliyawarra
AUS;Q408;Q47004719;Língua mayi-kulan
AUS;Q408;Q47004724;Mayi-Yapi
AUS;Q408;Q47004730;Mayi-Thakurti
AUS;Q408;Q47004732;Wunumara
AUS;Q408;Q48987680;Githabul
AUS;Q408;Q49929396;Malyangapa
AUS;Q408;Q49929872;Wadikali
AUS;Q408;Q50207890;Dadi Dadi
AUS;Q408;Q50934920;Golpa
AUS;Q408;Q52008172;Garingbal
AUS;Q408;Q55254102;Koko Babangk
AUS;Q408;Q56525223;Nari Nari
AUS;Q408;Q56809601;Olkol
AUS;Q408;Q56825017;Lanima
AUS;Q408;Q57337359;Karenggapa
AUS;Q408;Q57783910;Wotjobaluk
AUS;Q408;Q60611652;Gundungurra
AUS;Q408;Q61676882;Kurnai
AUS;Q408;Q61951665;Yan-nhaŋu Sign Language
AUT;Q40;Q188;alemão
AUT;Q40;Q6654;croata
AUT;Q40;Q9063;língua eslovena
AUT;Q40;Q9067;húngaro
AUT;Q40;Q29540;bávaro
AUT;Q40;Q35357;Burgenland Croatian
AUT;Q40;Q36668;língua de sinais austríaca
AUT;Q40;Q131339;Alemânico
AUT;Q40;Q306626;alemão austríaco
AUT;Q40;Q387066;suíço-alemão
AUT;Q40;Q680517;Walser German
AZE;Q227;Q7737;russo
AZE;Q227;Q8785;língua arménia
AZE;Q227;Q29561;Língua ávara
AZE;Q227;Q31746;Língua lezgui
AZE;Q227;Q34318;Língua talish
AZE;Q227;Q35278;Língua khinalug
AZE;Q227;Q35397;Língua budukh
AZE;Q227;Q36163;curmânji
AZE;Q227;Q36757;Língua rutul
AZE;Q227;Q36853;Língua tsakhur
AZE;Q227;Q36867;Língua udi
AZE;Q227;Q56489;Língua tat
AZE;Q227;Q791623;Pannonian Avar
AZE;Q227;Q3515311;North Azerbaijani
AZE;Q227;Q4906894;Iranian Khalaj
BDI;Q967;Q150;francês
BDI;Q967;Q33583;Língua kirundi
BDI;Q967;Q3197533;Swahili
BEL;Q31;Q150;francês
BEL;Q31;Q188;alemão
BEL;Q31;Q7411;neerlandês
BEL;Q31;Q8641;língua iídiche
BEL;Q31;Q9051;língua luxemburguesa
BEL;Q31;Q33282;língua gestual alemã
BEL;Q31;Q34024;picardo
BEL;Q31;Q34147;Flamengo
BEL;Q31;Q34219;valão
BEL;Q31;Q100103;West Flemish
BEL;Q31;Q102172;língua limburguesa
BEL;Q31;Q151156;Low Dietsch dialects
BEL;Q31;Q430018;Língua champanhesa
BEL;Q31;Q671198;loreno
BEL;Q31;Q815549;francês belga
BEL;Q31;Q1404296;Belgian Dutch
BEL;Q31;Q1793299;Sinte Romani
BEL;Q31;Q2107617;Flemish Sign Language
BEL;Q31;Q2668371;Brusselian
BEL;Q31;Q3217332;French Belgian Sign Language
BEN;Q962;Q150;francês
BEN;Q962;Q33291;Língua fon
BEN;Q962;Q33450;Língua gen
BEN;Q962;Q33606;Língua ife
BEN;Q962;Q34311;Língua iorubá
BEN;Q962;Q34733;Aguna
BEN;Q962;Q34838;Língua anii
BEN;Q962;Q34841;Ayizo
BEN;Q962;Q34845;Língua chakosi
BEN;Q962;Q34889;Língua bariba
BEN;Q962;Q34961;Berba
BEN;Q962;Q34983;Boko
BEN;Q962;Q35035;Língua aja
BEN;Q962;Q35164;Dendi
BEN;Q962;Q35186;Língua tammari
BEN;Q962;Q35474;Língua gourmanchema
BEN;Q962;Q35475;kabiyé
BEN;Q962;Q35652;Lama
BEN;Q962;Q35770;Mahi
BEN;Q962;Q35888;Ngangam
BEN;Q962;Q35913;Yobe
BEN;Q962;Q36042;Northern Nago
BEN;Q962;Q36047;Língua mocolé
BEN;Q962;Q36531;Língua tem
BEN;Q962;Q36887;Pherá
BEN;Q962;Q36893;Yom
BEN;Q962;Q36924;Phla
BEN;Q962;Q36987;Waci
BEN;Q962;Q56475;Língua haúça
BEN;Q962;Q3070731;Nateni
BEN;Q962;Q3111668;Gun
BEN;Q962;Q3258739;Lukpa
BEN;Q962;Q3530330;Tofin
BEN;Q962;Q3913304;Kyenga
BEN;Q962;Q4286473;Mbelime
BEN;Q962;Q5465566;Língua foodo
BEN;Q962;Q7428892;Saxwe
BEN;Q962;Q7958576;Língua waama
BEN;Q962;Q11008162;Tchumbuli
BEN;Q962;Q11009194;Notre
BEN;Q962;Q12952405;Ede Ica
BEN;Q962;Q12952406;Ede Ije
BEN;Q962;Q12952408;Ede Nago
BEN;Q962;Q12952409;Kura Nago
BEN;Q962;Q12952426;Borgu Fulfulde
BEN;Q962;Q12952430;Western Niger Fulfulde
BEN;Q962;Q12952445;Ci-Gbe
BEN;Q962;Q12952446;Gbe-Defi
BEN;Q962;Q12952447;Kotafon
BEN;Q962;Q12952448;Gbesi
BEN;Q962;Q13123376;Ede Idaca
BEN;Q962;Q18379970;Gbe-Weme
BEN;Q962;Q18379975;Eastern Xwla
BEN;Q962;Q33112829;Ede Cabe
BES;Q27561;Q1860;inglês
BES;Q27561;Q7411;neerlandês
BES;Q27561;Q33856;Papiamento
BFA;Q965;Q1860;inglês
BFA;Q965;Q32706;Língua dioula
BFA;Q965;Q32934;Língua bissa
BFA;Q965;Q34961;Berba
BFA;Q965;Q35065;Bomu
BFA;Q965;Q35074;Cerma
BFA;Q965;Q35157;Bwamu
BFA;Q965;Q35210;Senara
BFA;Q965;Q35331;Língua frafra
BFA;Q965;Q35340;Dyan
BFA;Q965;Q35343;Dogoso
BFA;Q965;Q35371;Northern Bobo Madaré
BFA;Q965;Q35474;Língua gourmanchema
BFA;Q965;Q35486;Humburi Senni
BFA;Q965;Q35552;Língua kasen
BFA;Q965;Q35701;Koromfe
BFA;Q965;Q35708;Língua kusaal
BFA;Q965;Q35716;Língua caraboro oriental
BFA;Q965;Q35807;Lobi
BFA;Q965;Q36002;Nanerigé
BFA;Q965;Q36030;Marka
BFA;Q965;Q36096;Língua more
BFA;Q965;Q36140;Natioro
BFA;Q965;Q36252;Siamou
