iso3,country,christian,muslim,unaffiliated,hindu,buddhist,folk_religions,other_religions,jewish,source_year
ARE,United Arab Emirates,12.6,76.9,1.1,6.6,2.0,0.05,0.8,0.05,2010
GBR,United Kingdom,71.1,4.4,21.3,1.3,0.4,0.3,0.8,0.5,2010
USA,United States,78.3,0.9,16.4,0.6,1.2,0.2,0.6,1.8,2010
URY,Uruguay,57.9,0.05,40.7,0.05,0.05,0.8,0.3,0.3,2010
UZB,Uzbekistan,2.3,96.7,0.8,0.05,0.05,0.05,0.05,0.05,2010
VUT,Vanuatu,93.3,0.05,1.2,0.05,0.05,4.1,1.4,0.05,2010
VEN,Venezuela,89.3,0.3,10.0,0.05,0.05,0.2,0.05,0.05,2010
VNM,Vietnam,8.2,0.2,29.6,0.05,16.4,45.3,0.4,0.05,2010
WLF,Wallis and Futuna,97.4,0.05,0.6,0.05,0.05,1.2,0.8,0.05,2010
ESH,Western Sahara,0.2,99.0,0.4,0.05,0.05,0.05,0.05,0.05,2010
YEM,Yemen,0.2,99.0,0.1,0.6,0.05,0.05,0.05,0.05,2010
ZMB,Zambia,97.6,0.5,0.5,0.1,0.05,0.3,0.9,0.05,2010
ZWE,Zimbabwe,87.0,0.9,7.9,0.05,0.05,3.8,0.3,0.05,2010
