iso3,country,role,person,person_qid,start,end,party,end_cause
IMN,Ilha de Man,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
IND,Índia,head_of_government,Narendra Modi,Q1058,2014-05-26T00:00:00Z,,BJP,
IND,Índia,head_of_state,Droupadi Murmu,Q19901232,2022-07-25T00:00:00Z,,BJP,
IRL,Irlanda,head_of_government,Micheál Martin,Q920403,2025-01-23T00:00:00Z,,FF,
IRL,Irlanda,head_of_state,Michael Higgins,Q57276,2011-11-11T00:00:00Z,,FF,
IRN,Irã,head_of_government,Masoud Pezeshkian,Q5933752,2024-07-06T00:00:00Z,,Ind.,
IRN,Irã,head_of_state,Ali Khamenei,Q57336,1989-06-04T00:00:00Z,,Islamic Republican Party,
IRQ,Iraque,head_of_government,Mohammed Shia' Al Sudani,Q3700793,2022-10-27T00:00:00Z,,Islamic Dawa Party,
IRQ,Iraque,head_of_state,Abdul Latif Rashid,Q6496078,2022-10-17T00:00:00Z,,Patriotic Union of Kurdistan,
ISL,Islândia,head_of_government,Kristrún Frostadóttir,Q108856371,2024-12-21T00:00:00Z,,Social Democratic Alliance,
ISL,Islândia,head_of_state,Halla Tómasdóttir,Q24494577,2024-08-01T00:00:00Z,,Ind.,
ISR,Israel,head_of_government,Benjamin Netanyahu,Q43723,2022-12-29T00:00:00Z,,Likud,
ISR,Israel,head_of_state,Isaac Herzog,Q983258,2021-07-07T00:00:00Z,,Partido Trabalhista,
ITA,Itália,head_of_government,Giorgia Meloni,Q451791,2022-10-22T00:00:00Z,,Brothers of Italy,
ITA,Itália,head_of_state,Sergio Mattarella,Q3956186,2015-02-03T00:00:00Z,,Democratic Party,
JAM,Jamaica,head_of_government,Andrew Holness,Q505200,2016-03-03T00:00:00Z,,Jamaica Labour Party,
JAM,Jamaica,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
JEY,Jersey,head_of_government,Kristina Moore,Q6438257,2022-07-12T00:00:00Z,,,
JEY,Jersey,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
JOR,Jordânia,head_of_government,Jafar Hassan,Q97011032,2024-09-18T00:00:00Z,,,
JOR,Jordânia,head_of_state,Abdullah II da Jordânia,Q57464,1999-02-07T00:00:00Z,,,
JPN,Japão,head_of_government,Shigeru Ishiba,Q1335527,2024-11-11T00:00:00Z,,LDP | NFP,
JPN,Japão,head_of_state,"Naruhito, Príncipe Herdeiro do Japão",Q217096,2019-05-01T00:00:00Z,,,
KAZ,Cazaquistão,head_of_government,Oljas Bektenov,Q124436646,2024-02-06T00:00:00Z,,Amanat,
KAZ,Cazaquistão,head_of_state,Kassym-Jomart Tokayev,Q200881,2019-03-20T00:00:00Z,,Nur Otan,
KEN,Quênia,head_of_government,William Ruto,Q195725,2022-09-13T00:00:00Z,,United Democratic Alliance,
KEN,Quênia,head_of_state,William Ruto,Q195725,2022-09-13T00:00:00Z,,United Democratic Alliance,
KGZ,Quirguistão,head_of_government,Adylbek Kasymaliev,Q112703041,2024-12-16T00:00:00Z,,,
KGZ,Quirguistão,head_of_state,Sadyr Japarov,Q25597826,2021-01-28T00:00:00Z,,Mekenchil,
KHM,Camboja,head_of_government,Hun Manet,Q13024351,2023-08-22T00:00:00Z,,KPRP | CPP,
KHM,Camboja,head_of_state,Norodom Sihamoni,Q57319,2004-10-14T00:00:00Z,,,
KIR,Quiribati,head_of_government,Taneti Maamau,Q23034482,2016-03-11T00:00:00Z,,Tobwaan Kiribati Party,
KIR,Quiribati,head_of_state,Taneti Maamau,Q23034482,2016-03-11T00:00:00Z,,Tobwaan Kiribati Party,
KNA,São Cristóvão e Névis,head_of_government,Terrance Drew,Q113443525,2022-08-06T00:00:00Z,,Saint Kitts and Nevis Labour Party,
KNA,São Cristóvão e Névis,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
KOR,Coreia do Sul,head_of_government,Lee Jae-myung,Q12612463,2025-06-04T00:00:00Z,,Democratic Party of Korea,
KOR,Coreia do Sul,head_of_state,Lee Jae-myung,Q12612463,2025-06-04T00:00:00Z,,Democratic Party of Korea,
KWT,Kuwait,head_of_government,Ahmad Al-Abdullah Al-Sabah,Q16151955,2024-05-15T00:00:00Z,,,
KWT,Kuwait,head_of_state,Mishal Al-Ahmad Al-Jaber Al-Sabah,Q12243161,2023-12-16T00:00:00Z,,,
LAO,Laos,head_of_government,Sonexay Siphandone,Q104914585,2022-12-30T00:00:00Z,,,
LAO,Laos,head_of_state,Thongloun Sisoulith,Q58323,2021-03-22T00:00:00Z,,Lao People's Revolutionary Party,
LBN,Líbano,head_of_government,Nawaf Salam,Q638463,2025-02-08T00:00:00Z,,,
LBN,Líbano,head_of_state,Joseph Aoun,Q29033962,2025-01-09T00:00:00Z,,,
LBR,Libéria,head_of_government,Joseph Boakai,Q2630483,2024-01-22T00:00:00Z,,Unity Party,
LBR,Libéria,head_of_state,Joseph Boakai,Q2630483,2024-01-22T00:00:00Z,,Unity Party,
LBY,Líbia,head_of_government,Fathi Bashagha,Q63285566,2022-03-03T00:00:00Z,,,
LBY,Líbia,head_of_state,Mohamed al-Menfi,Q105319610,2021-03-15T00:00:00Z,,Ind.,
LCA,Santa Lúcia,head_of_government,Philip Pierre,Q7184214,2021-07-28T00:00:00Z,,Saint Lucia Labour Party,
LCA,Santa Lúcia,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
LIE,Liechtenstein,head_of_government,Daniel Risch,Q30882650,2021-03-25T00:00:00Z,,Fatherland Union,
LIE,Liechtenstein,head_of_state,Hans-Adam II do Liechtenstein,Q57454,1989-11-13T00:00:00Z,,,
LKA,Sri Lanka,head_of_government,Harini Amarasuriya,Q98298397,2024-09-24T00:00:00Z,,,
LKA,Sri Lanka,head_of_state,Anura Kumara Dissanayaka,Q4777855,2024-09-23T00:00:00Z,,National People's Power,
LSO,Lesoto,head_of_government,Sam Matekane,Q114588964,2022-10-28T00:00:00Z,,Revolution for Prosperity,
LSO,Lesoto,head_of_state,Letsie III do Lesoto,Q57537,1996-02-07T00:00:00Z,,,
LTU,Lituânia,head_of_government,Inga Ruginienė,Q124516173,2025-08-26T00:00:00Z,,Social Democratic Party of Lithuania,
LTU,Lituânia,head_of_state,Gitanas Nausėda,Q9268379,2019-07-12T00:00:00Z,,Partido Comunista da União Soviética,
LUX,Luxemburgo,head_of_government,Luc Frieden,Q592101,2023-11-17T00:00:00Z,,Christian Social People's Party,
LUX,Luxemburgo,head_of_state,"Guilherme, grão-duque herdeiro de Luxemburgo",Q161319,2025-10-03T00:00:00Z,,,
LVA,Letônia,head_of_government,Evika Siliņa,Q61121565,2023-09-15T00:00:00Z,,New Unity,
