conflict_qid;conflict_label;empty_what
Q5558506;Golpe de Wuhan;p710
Q3556320;Ecclesiastical coup;labels
Q5147882;1953 Colombian coup d'état;labels
Q7097104;Operação Guitar Boy;p710
Q6312181;Revolução de 4 de Junho de 1979;labels
Q6407105;Songsuradet Rebellion;p710
Q4571240;Golpe de Estado em Togo em 1963;labels
Q5177978;Coup of Cao Mao;labels
Q6440033;Golpe de Estado de Chile en 1932;p710
Q4120789;Golpe de Estado no Equador em 2000;p710
Q4114552;Golpe de Estado no Paquistão em 1977;labels
Q4563801;1936 Iraqi coup d'état;p710
Q4589458;Golpe de Estado na Gâmbia em 1994;p710
Q6024898;Motín de tropas griegas de 1944;p710
Q5556771;Spanish coup of March 1939;p710
Q4588556;Crise constitucional na Guatemala em 1993;labels
Q4574675;Golpe de Estado no Sudão em 1971;p710
Q4462585;Coup of June 1907;p710
Q7318713;Revolution of October 8, 1812;p710
Q4114547;Golpe de Estado no Níger em 1974;p710
Q4350101;coup d'État en Roumanie du 15 septembre 1940;p710
Q6585263;1951 Thai coup d'état;p710
Q3495710;Golpe de Estado na Mauritânia em 2005;p710
Q4388339;1918 Ukrainian coup d'état;p710
Q5248943;December 1964 South Vietnamese coup;p710
Q4114551;Golpe de Estado no Paquistão em 1958;labels
Q6312034;Golpe de Estado no Haiti em junho de 1988;labels
Q4156075;1762 coup d'état;p710
Q7428332;Golpe de Estado no Império Otomano em 1912;labels
Q4402025;Golpe de Estado na Argentina em 1930;p710
Q4565977;1947 Coup Group;labels
Q6085928;September 1811 Chilean coup d'état;p710
Q6123841;Segundo Golpe de Estado de José Miguel Carrera;p710
Q4114548;Golpe de Estado no Níger em 1996;p710
Q4583594;Golpe de Estado no Burundi em 1987;p710
Q5882508;Coup d'état of Pavía;labels
Q4120226;Revolução de 17 de Julho;p710
Q4146911;Golpe de Estado no Mali em 1968;p710
Q4350102;Переворот в Хиве (1918);p710
Q4156071;Palace coup of 1741;p710
Q5882533;Golpe de Estado no Panamá em 1968;labels
Q5358176;Kusuko Incident;labels
Q4559693;Golpe de Estado no Império Otomano em 1913;labels
Q4576634;1975 Honduran coup d'état;p710
Q4230506;Conditions;p710
Q5370122;Emboscada (golpe);p710
Q6107218;Revolução de 1 de Setembro;labels
Q3798246;Golpe de Estado na Venezuela em 1958;p710
Q4919446;Golpe de Estado no Camboja em 1970;p710
Q6383559;Keian Uprising;p710
Q4146914;2011–2012 Maldives political crisis;p710
Q6806961;Gang Jo’s Coup;labels
Q3560385;Golpe de Estado na Síria em 1966;p710
Q4597438;Golpe de Estado nas Fiji de 2000;p710
Q4565209;Revolução de 43;p710
Q7452125;Golpe de Estado no Haiti em setembro de 1988;labels
Q4565608;Golpe de Estado na Venezuela em 1945;p710
Q5403603;Ethiopian coup d'état of 1928;p710
Q4573051;Brincadeira de Håtuna;p710
Q4231746;Contrarrevolução otomana de 1909;labels
Q1509437;Russo-Swedish War of 1495–1497;p17
Q233350;Second Battle of Chlumec;p17
Q233568;Batalha de Hattin;labels
Q1717438;Swedish invasion of Brandenburg;p17
Q233417;Segunda Batalha de Trenton;labels
Q1533828;Guerra romano-parta de 58–63;p17
Q1500631;Guerra peruano-equatoriana;labels
Q233352;Batalha de Queroneia;labels
Q1634776;Guerra Russo Sueca de 1590-1595;p17
Q1545405;Guerras da Nova Zelândia;p17
Q235344;Batalha do Álamo;labels
Q1503611;Guerra Numantina;p17
Q1604816;Guerra lituano-soviética;p17
