iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
JPN;Q17;Japão;Q116813271;Truk to Yokosuka convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Yokosuka convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813268;Truk to Saipan convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Saipan convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813269;Convoy 5192;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 5192;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813274;Tokyo to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Tokyo to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813275;Saipan to Truk Convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Saipan to Truk Convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813272;Convoy 3004/3002;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 3004/3002;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813273;Convoy 3727;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 3727;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813276;Convoy 3628;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 3628;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q173034;Batalha de Midway;Q1261499;batalha naval;participant;1942;1942;;Q184425;Guerra do Pacífico;Q47863;Atol Midway;;;;Japan;Battle of Midway;naval battle;Pacific War;Midway Atoll;
JPN;Q17;Japão;Q184425;Guerra do Pacífico;Q718893;teatro de operações;participant;1941;1945;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Pacific War;theater of war;World War II;Pacific Ocean;
JPN;Q17;Japão;Q188925;Batalhas de Khalkhin Gol;Q178561;batalha;participant;1939;1939;;Q696389;Conflitos fronteiriços entre a União Soviética e o Japão;Q715797;Khalkhyn River;;;;Japan;Battles of Khalkhin Gol;battle;Soviet–Japanese border conflicts;Khalkhyn River;
JPN;Q17;Japão;Q696389;Conflitos fronteiriços entre a União Soviética e o Japão;;;from_battle;1939;1939;;Q696389;Conflitos fronteiriços entre a União Soviética e o Japão;;;;;;Japan;Soviet–Japanese border conflicts;;Soviet–Japanese border conflicts;;
JPN;Q17;Japão;Q192660;Batalha de Okinawa;Q178561;batalha;participant;1945;1945;1945;Q698292;Campanha nas Ilhas Vulcano e Ryukyu;Q697589;Ilhas de Okinawa;;;200656;Japan;Battle of Okinawa;battle;Volcano and Ryukyu Islands campaign;Okinawa Islands;
JPN;Q17;Japão;Q192660;Batalha de Okinawa;Q178561;batalha;location;1945;1945;1945;Q698292;Campanha nas Ilhas Vulcano e Ryukyu;Q697589;Ilhas de Okinawa;;;200656;Japan;Battle of Okinawa;battle;Volcano and Ryukyu Islands campaign;Okinawa Islands;
JPN;Q17;Japão;Q698292;Campanha nas Ilhas Vulcano e Ryukyu;;;from_battle;1945;1945;1945;Q698292;Campanha nas Ilhas Vulcano e Ryukyu;;;;;;Japan;Volcano and Ryukyu Islands campaign;;Volcano and Ryukyu Islands campaign;;
JPN;Q17;Japão;Q207165;Batalha do Mar de Coral;Q1261499;batalha naval;participant;1942;1942;;Q2276692;Campanha da Nova Guiné;Q82931;Mar de Coral;;;;Japan;Battle of the Coral Sea;naval battle;New Guinea campaign;Coral Sea;
JPN;Q17;Japão;Q2276692;Campanha da Nova Guiné;;;from_battle;1942;1942;;Q2276692;Campanha da Nova Guiné;;;;;;Japan;New Guinea campaign;;New Guinea campaign;;
JPN;Q17;Japão;Q217145;Batalha de Guadalcanal;Q831663;campanha militar;participant;1942;1943;;Q184425;Guerra do Pacífico;Q192767;Guadalcanal;;;;Japan;Guadalcanal campaign;military campaign;Pacific War;Guadalcanal;
JPN;Q17;Japão;Q263142;Batalha do Mar de Java;Q1261499;batalha naval;participant;;;1942;Q698226;Dutch East Indies campaign;Q49364;Mar de Java;;;;Japan;Battle of the Java Sea;naval battle;Dutch East Indies campaign;Java Sea;
JPN;Q17;Japão;Q698226;Dutch East Indies campaign;;;from_battle;;;1942;Q698226;Dutch East Indies campaign;;;;;;Japan;Dutch East Indies campaign;;Dutch East Indies campaign;;
JPN;Q17;Japão;Q296754;Batalha de Singapura;Q178561;batalha;participant;1942;1942;;Q362;Segunda Guerra Mundial;Q4420036;Singapore in the Straits Settlements;;;;Japan;Battle of Singapore;battle;World War II;Singapore in the Straits Settlements;
JPN;Q17;Japão;Q308999;Batalha do Golfo de Leyte;Q1261499;batalha naval;participant;1944;1944;;Q362;Segunda Guerra Mundial;Q240753;Golfo de Leyte;;;;Japan;Battle of Leyte Gulf;naval battle;World War II;Leyte Gulf;
JPN;Q17;Japão;Q379433;Operação Ten-Go;Q645883;operação militar;participant;;;1945;Q184425;Guerra do Pacífico;Q98;Oceano Pacífico;;;;Japan;Operation Ten-Go;military operation;Pacific War;Pacific Ocean;
JPN;Q17;Japão;Q383614;Batalha de Kohima;Q178561;batalha;participant;1944;1944;1944;Q2404723;Operação U-Go;Q234056;Kohima;;;12000;Japan;Battle of Kohima;battle;Operation U-Go;Kohima;
JPN;Q17;Japão;Q2404723;Operação U-Go;;;from_battle;1944;1944;1944;Q2404723;Operação U-Go;;;;;;Japan;Operation U-Go;;Operation U-Go;;
JPN;Q17;Japão;Q128988144;Battle of Lashio;Q178561;batalha;participant;;;1942;Q10396694;Battle of Yunnan-Burma Road;Q1209397;Lashio;;;;Japan;Battle of Lashio;battle;Battle of Yunnan-Burma Road;Lashio;
JPN;Q17;Japão;Q10396694;Battle of Yunnan-Burma Road;;;from_battle;;;1942;Q10396694;Battle of Yunnan-Burma Road;;;;;;Japan;Battle of Yunnan-Burma Road;;Battle of Yunnan-Burma Road;;
JPN;Q17;Japão;Q575510;Battle of Pochonbo;Q178561;batalha;participant;;;1937;Q707483;Movimento de Independência da Coreia;Q196230;Pochon County;;;;Japan;Battle of Pochonbo;battle;Korean independence movement;Pochon County;
