conflict_qid;conflict_label;checked_via
Q598089;Uskok War;both
Q616846;Anglo-Spanish War;both
Q573472;Soviet-Bulgarian War;both
Q611071;Conflito entre Chade e Líbia;both
Q620735;Guerra Russo-Georgiana;both
Q580961;Guerra da Faixa de Agacher;both
Q559181;First Silesian War;both
Q583223;Polish–Teutonic War of 1327–1332;both
Q617772;Guerra Anglo-Persa;both
Q617070;First Anglo-Mysore War;both
Q617782;Quarta Guerra Anglo-Mysore;both
Q617333;Guerra Franco-Espanhola;both
Q617350;Third Anglo-Mysore War;both
Q576338;Guerra Imjin;both
Q605977;Quarta Coligação;both
Q582584;Primeira Guerra Anglo-Sikh;both
Q604204;Guerra Anglo-Espanhola;both
Q552373;Quarta Guerra Macedónica;both
Q617210;Third Anglo-Maratha War;both
Q558423;Polish–Teutonic War of 1519–21;both
Q598774;Guerra Polaco-Sueca (1600–1611);both
Q616939;Guerra anglo-egípcia de 1882;both
Q501836;Battle of Krasne;both
Q501922;Battle of Starokostiantyniv;both
Q501849;Battle of Zahal;both
Q488278;Batalha de Uhud;both
Q488547;Battle of Sarhu;both
Q501828;Battle of Mazyr;both
Q489561;Batalha de Heartbreak Ridge;both
Q710000;Batalha da Ilha Ramree;both
Q490156;Batalha de Qingshanli;both
Q503605;Batalha de Satala (298);both
Q494896;Battle of Dungan's Hill;both
Q492671;Batalha de Triangle Hill;both
Q513007;Battle of Sablat;both
Q709333;Batalha de Changsha;both
Q632787;Insurgência islâmica no Magrebe;both
Q652284;Guerra de fronteira etíope-somali de 1982;both
Q651277;Rappenkrieg;both
Q636365;Guerra da Liga de Cambrai;both
Q638587;Guerra Russo-Turca;both
Q638850;Cruzadas de Esmirnia;both
Q641185;Siamese–Vietnamese War of 1841–1845;both
Q643987;Guerra de Perúsia;both
Q631799;Guerra Russo-Turca (1568-1570);both
Q643925;Invasão do Daguestão de 1999;both
Q631163;O Dilúvio;both
Q651008;Guerra de Corinto;both
Q631991;Guerra Russo-Polonesa (1654–1667);both
Q623171;Guerra sino-vietnamita;both
Q644589;Guerra dos Toyota;both
Q98941632;Obama spying contra-Trump allegations;both
Q535542;Cerco de Belgrado (1521);both
Q540918;Battle of Ujście;both
Q102345565;APAN Music Awards vote manipulation;both
Q104664275;Erdoğan Iran poem controversy;both
Q534990;Batalha de Göllheim;both
Q99510880;FinCEN Files;both
Q65068554;Allegations of ouster plot against Rodrigo Duterte;both
Q525325;Batalha de Dyrrhachium;both
Q537923;Battle of Ridaniya;both
Q541564;Battle on the Elster;both
Q111187335;Schön scandal;both
