iso3;country;item;url_slug;ranking;score;critics;source
ROU;Roménia;Braşovence;brasovence;;;;tasteatlas_html
DEU;Alemanha;Bratkartoffeln;bratkartoffeln;;;;tasteatlas_html
DEU;Alemanha;Bratwurst;bratwurst;;;;tasteatlas_html
CAN;Canadá;Bread;Breads;;;;tasteatlas_html
USA;Estados Unidos;Bread Pudding;bread-pudding;2;11;11;tasteatlas_html
GBR;Reino Unido;Breakfast Cereal;breakfast-cereals;;;;tasteatlas_html
GRC;Grécia;Breakfast Cereal;breakfast-cereals;;;;tasteatlas_html
USA;Estados Unidos;Breakfast Cereal;breakfast-cereals;;;;tasteatlas_html
IRL;República da Irlanda;Breakfast roll;breakfast-roll;;3;3;tasteatlas_html
TUN;Tunísia;Brik;brik;1;2;2;tasteatlas_html
FRA;França;Brioche;brioche;;;;tasteatlas_html
MAR;Marrocos;Briouat;briouat;;1;1;tasteatlas_html
PRT;Portugal;Broa;broa;;;;tasteatlas_html
JAM;Jamaica;Brown stew chicken;brown-stew-chicken;;1;1;tasteatlas_html
JAM;Jamaica;Brown Stew Fish;brown-stew-fish;;1;1;tasteatlas_html
IDN;Indonésia;Bubur ayam;bubur-ayam;1;11;11;tasteatlas_html
AZE;Azerbaijão;Buglama;buglama;;1;1;tasteatlas_html
KOR;Coreia do Sul;Bulgogi;bulgogi;2;5;5;tasteatlas_html
ROU;Roménia;Bulz;bulz;;3;3;tasteatlas_html
VNM;Vietname;Bún bò nam bộ;bun-bo-nam-bo;;;;tasteatlas_html
VNM;Vietname;Bún chả;bun-cha;;1;1;tasteatlas_html
ZAF;África do Sul;Bunny Chow;bunny-chow;;;;tasteatlas_html
ESP;Espanha;Buñuelo;bunuelo;;;;tasteatlas_html
ESP;Espanha;Buñuelos de bacalao;bunuelos-de-bacalao;;1;1;tasteatlas_html
BIH;Bósnia e Herzegovina;Buredžici;buredzici;;;;tasteatlas_html
BIH;Bósnia e Herzegovina;Burek;burek;3;5;5;tasteatlas_html
SRB;Sérvia;Burek sa sirom;burek-sa-sirom-serbia;;2;2;tasteatlas_html
USA;Estados Unidos;Burger;burger;18;8;8;tasteatlas_html
JPN;Japão;Buri nigiri sushi;buri-nigiri-sushi;;2;2;tasteatlas_html
PER;Peru;Butifarra;butifarra;2;7;7;tasteatlas_html
AUS;Austrália;Butter;Butter;;;;tasteatlas_html
BRA;Brasil;Butter;Butter;;;;tasteatlas_html
CAN;Canadá;Butter;Butter;;;;tasteatlas_html
CHL;Chile;Butter;Butter;;;;tasteatlas_html
DEU;Alemanha;Butter;Butter;;;;tasteatlas_html
DNK;Dinamarca;Butter;Butter;;;;tasteatlas_html
ESP;Espanha;Butter;Butter;;;;tasteatlas_html
FIN;Finlândia;Butter;Butter;;;;tasteatlas_html
FRA;França;Butter;Butter;;;;tasteatlas_html
GBR;Reino Unido;Butter;Butter;;;;tasteatlas_html
IND;Índia;Butter;Butter;;;;tasteatlas_html
IRL;República da Irlanda;Butter;Butter;;;;tasteatlas_html
ISL;Islândia;Butter;Butter;;;;tasteatlas_html
ITA;Itália;Butter;Butter;;;;tasteatlas_html
JPN;Japão;Butter;Butter;;;;tasteatlas_html
MEX;México;Butter;Butter;;;;tasteatlas_html
NOR;Noruega;Butter;Butter;;;;tasteatlas_html
NZL;Nova Zelândia;Butter;Butter;;;;tasteatlas_html
PRT;Portugal;Butter;Butter;;;;tasteatlas_html
TUR;Turquia;Butter;Butter;;;;tasteatlas_html
USA;Estados Unidos;Butter;Butter;;;;tasteatlas_html
VEN;Venezuela;Butter;Butter;;;;tasteatlas_html
CAN;Canadá;Butter tarts;butter-tarts;;1;1;tasteatlas_html
MNG;Mongólia;Buuz;buuz;;1;1;tasteatlas_html
VNM;Vietname;Cá kho tộ;ca-kho-to;;;;tasteatlas_html
PRT;Portugal;Cabidela;cabidela;;;;tasteatlas_html
MEX;México;Cabrito;cabrito;;1;1;tasteatlas_html
VEN;Venezuela;Cachapa;cachapa;1;10;10;tasteatlas_html
ESP;Espanha;Cachopo;cachopo;;3;3;tasteatlas_html
BRA;Brasil;Cachorro quente;cachorro-quente;;4;4;tasteatlas_html
MEX;México;Caesar salad;caesar-salad;1;7;7;tasteatlas_html
PRT;Portugal;Caldeirada;caldeirada;;;;tasteatlas_html
CHL;Chile;Caldillo de congrio;caldillo-de-congrio;;2;2;tasteatlas_html
ECU;Equador;Caldo de bolas;caldo-de-bolas;;;;tasteatlas_html
MEX;México;Caldo de camarón;caldo-de-camaron;;1;1;tasteatlas_html
PRT;Portugal;Caldo verde;caldo-verde;;;;tasteatlas_html
COL;Colômbia;Calentado;calentado;;;;tasteatlas_html
USA;Estados Unidos;California Sourdough Bread;california-sourdough-bread;;1;1;tasteatlas_html
FRA;França;Canard à la presse;canard-a-la-presse;;2;2;tasteatlas_html
ITA;Itália;Canederli;canederli;;;;tasteatlas_html
VNM;Vietname;Canh chua;canh-chua;;1;1;tasteatlas_html
VNM;Vietname;Canh chua cá;canh-chua-ca;;;;tasteatlas_html
ESP;Espanha;Canned Food;canned-foods;;;;tasteatlas_html
GBR;Reino Unido;Canola Oil;canola-oil;;;;tasteatlas_html
IRL;República da Irlanda;Canola Oil;canola-oil;;;;tasteatlas_html
