conflict_qid;conflict_label;participant_qid;participant_label;role_label;is_human
Q11908798;Battle of Porto Conte;Q174306;República de Gênova;;no
Q11908798;Battle of Porto Conte;Q204920;Coroa de Aragão;;no
Q11908798;Battle of Porto Conte;Q4948;República de Veneza;;no
Q10418860;Artillery Duel at Korkiansaari;Q34;Suécia;;no
Q10418860;Artillery Duel at Korkiansaari;Q159;Rússia;;no
Q15048733;Assalto aos encouraçados Cabral e Lima Barros;Q217230;Império do Brasil;;no
Q15048733;Assalto aos encouraçados Cabral e Lima Barros;Q733;Paraguai;;no
Q7959512;Wager's Action;Q1028893;Charles Wager;;yes
Q7959512;Wager's Action;Q1339093;Jean du Casse;;yes
Q7959512;Wager's Action;Q161885;Reino da Grã-Bretanha;;no
Q10671391;Battle of Mön;Q35;Dinamarca;;no
Q10671391;Battle of Mön;Q34;Suécia;;no
Q9173377;Naval actions at the siege of Ochakov;Q34266;Império Russo;;no
Q9173377;Naval actions at the siege of Ochakov;Q12560;Império Otomano;;no
Q11680810;Combate Naval de Arica;Q298;Chile;;no
Q11680810;Combate Naval de Arica;Q419;Peru;;no
Q11265054;Battle of Yulpo;Q17;Japão;;no
Q11265054;Battle of Yulpo;Q28179;Dinastia Joseon;;no
Q9172350;Action of 29 September 1662;Q12560;Império Otomano;;no
Q9172350;Action of 29 September 1662;Q4948;República de Veneza;;no
Q13470147;Battle of the Raz de Sein;Q161885;Reino da Grã-Bretanha;;no
Q13470147;Battle of the Raz de Sein;Q58296;Primeira República Francesa;;no
Q482525;Movimento Primeiro de Março;Q16172170;48 National Representatives;;no
Q482525;Movimento Primeiro de Março;Q16172160;The 33 National Representatives;;no
Q482525;Movimento Primeiro de Março;Q490020;Yu Gwansun;;yes
Q98807804;Annexation of the Free City of Frankfurt;Q704300;Cidade Livre de Frankfurt;;no
Q98807804;Annexation of the Free City of Frankfurt;Q38872;Prússia;;no
