Iso3Start;Level;QID;Label;FormationYear;SourceFlag
HUN;2;Q940741;República da Hungria;1946;seed_evidence
ESP;0;Q29;Espanha;;seed
ESP;1;Q766543;Monarquia Hispânica;1479;seed_evidence
ESP;1;Q80702;Império Espanhol;1402;seed_evidence
ESP;1;Q497777;Primeira República Espanhola;1873;seed_evidence
ESP;1;Q199442;Reino de Aragão;1035;seed_evidence
ESP;1;Q204920;Coroa de Aragão;1164;seed_evidence
ESP;2;Q21088788;Catholic Monarchy;;seed_evidence
ESP;2;Q217196;Coroa de Castela;1230;seed_evidence
ESP;2;Q204920;Coroa de Aragão;1164;seed_evidence
ESP;2;Q3399982;Reino de Espanha;1700;seed_evidence
ESP;2;Q2991433;County of Sobrarbe;724;seed_evidence
ESP;2;Q199688;Califado Almóada;1121;seed_evidence
ESP;2;Q3572054;Lordship of Albarracin;1167;seed_evidence
ESP;2;Q1297894;Condado de Ribagorza;900;seed_evidence
