cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q889;Afeganistão;AFG
Q3624078;sovereign state;Q35;Dinamarca;DNK
Q3624078;sovereign state;Q20507218;Kingdom of Artaxerxes;
Q3624078;sovereign state;Q43287;Império Alemão;
Q3624078;sovereign state;Q902;Bangladesh;BGD
Q3624078;sovereign state;Q836;Myanmar;MMR
Q3624078;sovereign state;Q842;Omã;OMN
Q3624078;sovereign state;Q826;Maldivas;MDV
Q3624078;sovereign state;Q962;Benim;BEN
Q3624078;sovereign state;Q819;Laos;LAO
Q3624078;sovereign state;Q851;Arábia Saudita;SAU
Q3624078;sovereign state;Q843;Paquistão;PAK
Q3624078;sovereign state;Q833;Malásia;MYS
Q3624078;sovereign state;Q921;Brunei;BRN
Q3624078;sovereign state;Q801;Israel;ISR
Q3624078;sovereign state;Q917;Butão;BTN
Q3624078;sovereign state;Q929;República Centro-Africana;CAF
Q3624078;sovereign state;Q122940815;Q122940815;
Q3624078;sovereign state;Q854;Sri Lanka;LKA
Q3624078;sovereign state;Q869;Tailândia;THA
Q3624078;sovereign state;Q863;Tajiquistão;TJK
Q3624078;sovereign state;Q924;Tanzânia;TZA
Q3624078;sovereign state;Q846;Catar;QAT
Q3624078;sovereign state;Q1006;Guiné;GIN
Q3624078;sovereign state;Q817;Kuwait;KWT
Q3624078;sovereign state;Q1194329;Nova Roma;
Q3624078;sovereign state;Q1026065;Senarica;
Q3624078;sovereign state;Q125881605;Luba-Lunda states;
Q3624078;sovereign state;Q1044668;Insulo de la Rozoj;
Q3624078;sovereign state;Q3458646;Rough and Ready;
Q3624078;sovereign state;Q1083009;Principality of Wy;
Q3624078;sovereign state;Q112558;Saugeais;
Q3624078;sovereign state;Q1123960;República da Concha;
Q3624078;sovereign state;Q1133491;Republic of Jamtland;
Q3624078;sovereign state;Q10353934;Principado da Pontinha;
Q3624078;sovereign state;Q10432828;Bondböneriket;
Q3624078;sovereign state;Q116836;Filettino;
Q3624078;sovereign state;Q1152445;Império Aericano;
Q3624078;sovereign state;Q1155768;Molossia;
Q3624078;sovereign state;Q1196171;Império de Atlatium;
Q3624078;sovereign state;Q202206;Christiania;
Q3624078;sovereign state;Q1206012;Reich Alemão;
Q3624078;sovereign state;Q1238123;Domínio de Melchizedek;
Q3624078;sovereign state;Q3456407;Republic of Montmartre;
Q3624078;sovereign state;Q1982386;New Atlantis;
Q3624078;sovereign state;Q1266300;Neue Slowenische Kunst;
Q3624078;sovereign state;Q140173;Zaffaraya;
Q3624078;sovereign state;Q1423680;Reino Gay e Lésbico das Ilhas do Mar do Coral;
Q3624078;sovereign state;Q1483412;Fürstentum Germania;
Q3624078;sovereign state;Q2063035;Huttonia;
Q3624078;sovereign state;Q1531672;Global State of Waveland;
Q3624078;sovereign state;Q1549254;Principado de Seborga;
Q3624078;sovereign state;Q1840479;Free Republic of Outremeuse;
Q3624078;sovereign state;Q896118;Rüterberg;
Q3624078;sovereign state;Q2011058;Sovereign State of Forvik;
Q3624078;sovereign state;Q2055161;Parva Domus;
Q3624078;sovereign state;Q2096935;Reino de Sedang;
Q3624078;sovereign state;Q2336883;Dominion of British West Florida;
