iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
JAM;Q766;Q1860;inglês;national;;;;Jamaica;Jamaica;inglês;English
JAM;Q766;Q35939;patoá jamaicano;national;;;;Jamaica;Jamaica;patoá jamaicano;Jamaican Patois
JEY;Q785;Q2047043;Jersey Legal French;national;;;;Jersey;Jersey;Jersey Legal French;Jersey Legal French
JEY;Q785;Q1860;inglês;national;;;;Jersey;Jersey;inglês;English
JEY;Q785;Q56430;Jèrriais;national;;;;Jersey;Jersey;Jèrriais;Jèrriais
JOR;Q810;Q13955;árabe;national;;;;Jordânia;Jordan;árabe;Arabic
JPN;Q17;Q5287;japonês;national;;;;Japão;Japan;japonês;Japanese
KAZ;Q232;Q7737;russo;national;;;;Cazaquistão;Kazakhstan;russo;Russian
KAZ;Q232;Q9252;língua cazaque;national;;;;Cazaquistão;Kazakhstan;língua cazaque;Kazakh
KEN;Q114;Q1860;inglês;national;;;;Quénia;Kenya;inglês;English
KEN;Q114;Q7838;Língua suaíli;national;;;;Quénia;Kenya;Língua suaíli;Swahili
KGZ;Q813;Q7737;russo;national;;;;Quirguistão;Kyrgyzstan;russo;Russian
KGZ;Q813;Q9255;quirguiz;national;;;;Quirguistão;Kyrgyzstan;quirguiz;Kyrgyz
KHM;Q424;Q9205;Língua khmer;national;;;;Camboja;Cambodia;Língua khmer;Khmer
KIR;Q710;Q1860;inglês;national;;;;Kiribati;Kiribati;inglês;English
KIR;Q710;Q30898;Gilbertês;national;;;;Kiribati;Kiribati;Gilbertês;Gilbertese
KNA;Q763;Q1860;inglês;national;;;;São Cristóvão e Neves;Saint Kitts and Nevis;inglês;English
KOR;Q884;Q9176;coreano;national;;;;Coreia do Sul;South Korea;coreano;Korean
KOR;Q884;Q3073428;língua de sinais coreana;national;;;;Coreia do Sul;South Korea;língua de sinais coreana;Korean Sign Language
KWT;Q817;Q13955;árabe;national;;;;Kuwait;Kuwait;árabe;Arabic
LAO;Q819;Q9211;Língua laociana;national;;;;Laos;Laos;Língua laociana;Lao
LBN;Q822;Q13955;árabe;national;;;;Líbano;Lebanon;árabe;Arabic
LBN;Q822;Q150;francês;national;;1926;http;Líbano;Lebanon;francês;French
LBR;Q1014;Q1860;inglês;national;;;;Libéria;Liberia;inglês;English
LBY;Q1016;Q56467;árabe moderno padrão;national;;;;Líbia;Libya;árabe moderno padrão;Modern Standard Arabic
LBY;Q1016;Q13955;árabe;national;;;;Líbia;Libya;árabe;Arabic
LCA;Q760;Q1860;inglês;national;;;;Santa Lúcia;Saint Lucia;inglês;English
LIE;Q347;Q188;alemão;national;;;;Liechtenstein;Liechtenstein;alemão;German
LKA;Q854;Q13267;cingalês;national;;;;Sri Lanka;Sri Lanka;cingalês;Sinhala
LKA;Q854;Q5885;Língua tâmil;national;;;;Sri Lanka;Sri Lanka;Língua tâmil;Tamil
LSO;Q1013;Q1860;inglês;national;;;;Lesoto;Lesotho;inglês;English
LSO;Q1013;Q34340;língua soto do sul;national;;;;Lesoto;Lesotho;língua soto do sul;Sesotho
LTU;Q37;Q9083;língua lituana;national;;;;Lituânia;Lithuania;língua lituana;Lithuanian
LUX;Q32;Q9051;língua luxemburguesa;national;;;;Luxemburgo;Luxembourg;língua luxemburguesa;Luxembourgish
LUX;Q32;Q150;francês;national;;;;Luxemburgo;Luxembourg;francês;French
LUX;Q32;Q188;alemão;national;;;;Luxemburgo;Luxembourg;alemão;German
LVA;Q211;Q9078;língua letã;national;;;;Letónia;Latvia;língua letã;Latvian
MAC;Q14773;Q5146;português;national;;;;Macau;Macau;português;Portuguese
MAC;Q14773;Q727694;mandarim padrão;national;;;;Macau;Macau;mandarim padrão;Standard Chinese
MAC;Q14773;Q9186;Cantonês;national;;;;Macau;Macau;Cantonês;Cantonese
MAF;Q126125;Q150;francês;national;;;;São Martinho;Saint-Martin;francês;French
MAR;Q1028;Q7598268;Standard Moroccan Amazigh;national;;;;Marrocos;Morocco;Standard Moroccan Amazigh;Standard Moroccan Amazigh
MAR;Q1028;Q13955;árabe;national;;;;Marrocos;Morocco;árabe;Arabic
MCO;Q235;Q150;francês;national;;;;Mónaco;Monaco;francês;French
MDA;Q217;Q7913;língua romena;national;;1991;;Moldávia;Moldova;língua romena;Romanian
MDA;Q217;Q36392;língua moldávia;national;;1994;2023;Moldávia;Moldova;língua moldávia;Moldovan
MDA;Q217;Q36392;língua moldávia;national;;1940;1989;Moldávia;Moldova;língua moldávia;Moldovan
MDG;Q1019;Q150;francês;national;;;;Madagáscar;Madagascar;francês;French
MDG;Q1019;Q7930;Língua malgaxe;national;;;;Madagáscar;Madagascar;Língua malgaxe;Malagasy
MDV;Q826;Q32656;Língua divehi;national;;;;Maldivas;Maldives;Língua divehi;Divehi
MEX;Q96;Q13354;Iucateque;national;;;;México;Mexico;Iucateque;Yucatec Maya
MEX;Q96;Q13300;nauatle;national;;;;México;Mexico;nauatle;Nahuatl
MEX;Q96;Q1321;espanhol;national;;;;México;Mexico;espanhol;Spanish
MHL;Q709;Q36280;Língua marshalesa;national;;;;Ilhas Marshall;Marshall Islands;Língua marshalesa;Marshallese
MHL;Q709;Q1860;inglês;national;;;;Ilhas Marshall;Marshall Islands;inglês;English
MKD;Q221;Q8748;língua albanesa;national;;;;Macedónia do Norte;North Macedonia;língua albanesa;Albanian
MKD;Q221;Q9296;língua macedônia;national;;;;Macedónia do Norte;North Macedonia;língua macedônia;Macedonian
MLI;Q912;Q36186;Línguas maninkas;national;;;;Mali;Mali;Línguas maninkas;Maninka
MLI;Q912;Q1234776;Dogon;national;;;;Mali;Mali;Dogon;Dogon
MLI;Q912;Q33795;Senufo;national;;;;Mali;Mali;Senufo;Senufo
MLI;Q912;Q36905;Kassonke;national;;;;Mali;Mali;Kassonke;Kassonke
MLI;Q912;Q56231;Árabe hassani;national;;;;Mali;Mali;Árabe hassani;Hassaniya Arabic
MLI;Q912;Q33243;Língua bambara;national;;;;Mali;Mali;Língua bambara;Bambara
MLI;Q912;Q33454;Língua fula;national;;;;Mali;Mali;Língua fula;Fula
