conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window
Q654006;Segunda Guerra do Norte;Q148499;Margraviado de Brandeburgo;1655-01-01T00:00:00Z;Q198;all
Q151663;Guerra das Comunidades de Castela;Q2991502;Comunero;1520-04-26T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q242995;Jhansi;1857-01-01T00:00:00Z;Q198;all
Q654006;Segunda Guerra do Norte;Q34;Suécia;1655-01-01T00:00:00Z;Q198;all
Q1352215;Guerra Polaco-Russa de 1792;Q172107;República das Duas Nações;1792-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q1078602;Reino do Nepal;1857-01-01T00:00:00Z;Q198;all
Q1352215;Guerra Polaco-Russa de 1792;Q911889;Confederação Targowica;1792-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q3595882;Kunwar Singh;1857-01-01T00:00:00Z;Q198;all
Q807741;Guerras Berberes;Q12560;Império Otomano;1805-07-18T00:00:00Z;Q198;all
Q123070;Guerra Russo-Turca;Q491507;Egito Otomano;1701-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q600093;Espanha dos Habsburgo;1625-01-01T00:00:00Z;Q198;all
Q333023;Captura Teutônica de Danzig;Q48189;Ordem Teutónica;1308-11-21T00:00:00Z;Q198;all
Q832273;Guerra Eritreia-Etiópia;Q986;Eritreia;2000-06-18T00:00:00Z;Q198;all
Q418151;Segunda Guerra do Ópio;Q8733;Dinastia Qing;1856-10-08T00:00:00Z;Q198;all
Q151663;Guerra das Comunidades de Castela;Q32500;Carlos I de Espanha;1520-04-26T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q359936;Ambrogio Spinola;1625-01-01T00:00:00Z;Q198;all
Q127751;Guerra das Duas Rosas;Q101978;Casa de Tudor;1500-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q606051;Antonio de Oquendo;1625-01-01T00:00:00Z;Q198;all
Q1495944;Guerra polaco-lituana;Q207272;Segunda República Polonesa;1920-11-29T00:00:00Z;Q198;all
Q652284;Guerra de fronteira etíope-somali de 1982;Q1477220;República Democrática da Somália;1982-01-01T00:00:00Z;Q198;all
Q654006;Segunda Guerra do Norte;Q153136;Monarquia de Habsburgo;1655-01-01T00:00:00Z;Q198;all
Q635533;Guerra do Camboja (1979–1989);Q881;Vietname;1989-09-26T00:00:00Z;Q198;all
Q676068;War of Saint-Sardos;Q179876;Reino da Inglaterra;1324-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q181878;Rani Lakshmibai;1857-01-01T00:00:00Z;Q198;all
Q431806;Guerra de Arauco;Q80702;Império Espanhol;1546-01-01T00:00:00Z;Q198;all
Q166001;Guerra da Escânia;Q62651;Reino da Dinamarca e Noruega;1700-01-01T00:00:00Z;Q198;all
Q652284;Guerra de fronteira etíope-somali de 1982;Q828005;Derg;1982-01-01T00:00:00Z;Q198;all
Q123070;Guerra Russo-Turca;Q34266;Império Russo;1701-01-01T00:00:00Z;Q198;all
Q1413732;Conflito na Caxemira;Q668;Índia;1947-01-01T00:00:00Z;Q198;all
Q879980;Guerra de Black Hawk;Q1537653;Ho-Chunk;1832-08-27T00:00:00Z;Q198;all
Q676068;War of Saint-Sardos;Q237131;França na Idade Média;1324-01-01T00:00:00Z;Q198;all
Q123070;Guerra Russo-Turca;Q282475;Reino de Cártlia-Cachétia;1701-01-01T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q2976180;Edward Cecil, 1st Viscount Wimbledon;1625-01-01T00:00:00Z;Q198;all
