conflict,conflictLabel,participant,participantLabel
http://www.wikidata.org/entity/Q1886703,Batalha de Sulci,http://www.wikidata.org/entity/Q361194,Aníbal Giscão
http://www.wikidata.org/entity/Q1635922,Batalha de Tobago,http://www.wikidata.org/entity/Q70972,Reino da França
http://www.wikidata.org/entity/Q1566468,Battle of Cartagena,http://www.wikidata.org/entity/Q10416611,Reino Vândalo
http://www.wikidata.org/entity/Q1766951,Battle of Syme,http://www.wikidata.org/entity/Q844930,Atenas
http://www.wikidata.org/entity/Q1814482,Batalha de Elba,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q1814494,Batalha de Kentish Knock,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q1387983,First Battle of Memphis,http://www.wikidata.org/entity/Q81931,Estados Confederados da América
http://www.wikidata.org/entity/Q1814863,Batalha de Stromboli,http://www.wikidata.org/entity/Q316945,Michiel de Ruyter
http://www.wikidata.org/entity/Q1738188,Battle of Abydos,http://www.wikidata.org/entity/Q844930,Atenas
http://www.wikidata.org/entity/Q1781080,Battle of Cape Spartel,http://www.wikidata.org/entity/Q29,Espanha
http://www.wikidata.org/entity/Q1781080,Battle of Cape Spartel,http://www.wikidata.org/entity/Q142,França
