conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window;mapped_country_qid;mapped_iso3
Q1249270;Terceira Guerra Sacra;Q659791;Lócrida;-0355-01-01T00:00:00Z;Q198;all;Q41;
Q74109;Segunda Guerra Mundial na Albânia;Q822509;Legaliteti;1942-01-01T00:00:00Z;Q198;all;Q222;
Q75756;Segunda Guerra do Congo;Q645254;Frente de Libertação Nacional;1998-08-02T00:00:00Z;Q198;all;Q967;
Q285280;Guerra da Transnístria;Q907112;Transnístria;1990-11-02T00:00:00Z;Q198;all;Q217;
Q196409;Cruzada Livónia;Q690126;Livonians;1198-07-31T00:00:00Z;Q198;all;Q211;
Q82664;Guerra Irã-Iraque;Q781221;Partido Democrático do Curdistão;1980-09-22T00:00:00Z;Q198;all;Q796;
Q82664;Guerra Irã-Iraque;Q785078;Partido Democrático do Curdistão Iraniano;1980-09-22T00:00:00Z;Q198;all;Q794;
Q123070;Guerra Russo-Turca;Q871792;Grécia otomana;1701-01-01T00:00:00Z;Q198;all;Q41;
Q233657;Segunda Guerra de Matabele;Q642613;Shona;1896-03-01T00:00:00Z;Q198;all;Q954;
Q74109;Segunda Guerra Mundial na Albânia;Q689339;Balli Kombëtar;1942-01-01T00:00:00Z;Q198;all;Q222;
Q438252;Antiga Guerra de Zurique;Q688257;Appenzell;1440-11-11T00:00:00Z;Q198;all;Q39;
Q82664;Guerra Irã-Iraque;Q636947;Organização dos Mujahidin do Povo Iraniano;1980-09-22T00:00:00Z;Q198;all;Q794;
