"iso3";"status";"info";"ts"
"GLP";"ok";"fetched";"2025-10-15T07:30:55.750203+00:00"
"GMB";"ok";"fetched";"2025-10-15T07:30:58.278464+00:00"
"GNB";"ok";"fetched";"2025-10-15T07:31:01.530045+00:00"
"GNQ";"ok";"fetched";"2025-10-15T07:31:08.525316+00:00"
"GRC";"ok";"fetched";"2025-10-15T07:31:11.361605+00:00"
"GRD";"ok";"fetched";"2025-10-15T07:31:18.581605+00:00"
"GRL";"ok";"fetched";"2025-10-15T07:31:23.844096+00:00"
"GTM";"ok";"fetched";"2025-10-15T07:31:26.969035+00:00"
"GUF";"ok";"fetched";"2025-10-15T07:31:30.956385+00:00"
"GUM";"ok";"fetched";"2025-10-15T07:31:36.969732+00:00"
"GUY";"ok";"fetched";"2025-10-15T07:31:40.124352+00:00"
"HKG";"ok";"fetched";"2025-10-15T07:31:42.268510+00:00"
"HMD";"ok";"fetched";"2025-10-15T07:31:48.062240+00:00"
"HND";"ok";"fetched";"2025-10-15T07:31:52.128513+00:00"
"HRV";"ok";"fetched";"2025-10-15T07:31:54.553684+00:00"
"HTI";"ok";"fetched";"2025-10-15T07:31:56.772551+00:00"
"HUN";"ok";"fetched";"2025-10-15T07:31:59.407633+00:00"
"IDN";"ok";"fetched";"2025-10-15T07:32:02.309588+00:00"
"IMN";"ok";"fetched";"2025-10-15T07:32:08.330238+00:00"
"IND";"ok";"fetched";"2025-10-15T07:32:11.322380+00:00"
"IOT";"ok";"fetched";"2025-10-15T07:32:16.480270+00:00"
"IRL";"ok";"fetched";"2025-10-15T07:32:19.304382+00:00"
"IRN";"ok";"fetched";"2025-10-15T07:32:22.777922+00:00"
"IRQ";"ok";"fetched";"2025-10-15T07:32:25.486698+00:00"
"ISL";"ok";"fetched";"2025-10-15T07:32:29.061437+00:00"
"ISR";"ok";"fetched";"2025-10-15T07:32:32.578711+00:00"
"ITA";"ok";"fetched";"2025-10-15T07:32:35.378453+00:00"
"JAM";"ok";"fetched";"2025-10-15T07:32:37.292115+00:00"
"JEY";"ok";"fetched";"2025-10-15T07:32:40.424990+00:00"
"JOR";"ok";"fetched";"2025-10-15T07:32:44.612018+00:00"
"JPN";"ok";"fetched";"2025-10-15T07:32:47.940650+00:00"
"KAZ";"ok";"fetched";"2025-10-15T07:32:50.605556+00:00"
"KEN";"ok";"fetched";"2025-10-15T07:32:53.836390+00:00"
"KGZ";"ok";"fetched";"2025-10-15T07:32:58.963860+00:00"
"KHM";"ok";"fetched";"2025-10-15T07:33:00.886336+00:00"
"KIR";"ok";"fetched";"2025-10-15T07:33:04.588822+00:00"
"KNA";"ok";"fetched";"2025-10-15T07:33:06.368843+00:00"
"KOR";"ok";"fetched";"2025-10-15T07:33:08.644322+00:00"
"KWT";"ok";"fetched";"2025-10-15T07:33:15.150250+00:00"
"LAO";"ok";"fetched";"2025-10-15T07:33:20.056640+00:00"
"LBN";"ok";"fetched";"2025-10-15T07:33:22.041008+00:00"
"LBR";"ok";"fetched";"2025-10-15T07:33:24.868872+00:00"
"LBY";"ok";"fetched";"2025-10-15T07:33:29.173049+00:00"
"LCA";"ok";"fetched";"2025-10-15T07:33:32.196705+00:00"
"LIE";"ok";"fetched";"2025-10-15T07:33:35.777402+00:00"
"LKA";"ok";"fetched";"2025-10-15T07:33:38.204388+00:00"
"LSO";"ok";"fetched";"2025-10-15T07:33:43.820110+00:00"
"LTU";"ok";"fetched";"2025-10-15T07:33:45.994008+00:00"
"LUX";"ok";"fetched";"2025-10-15T07:33:53.057312+00:00"
"LVA";"ok";"fetched";"2025-10-15T07:33:55.540253+00:00"
"MAC";"ok";"fetched";"2025-10-15T07:33:57.819887+00:00"
"MAF";"ok";"fetched";"2025-10-15T07:34:06.009038+00:00"
"MAR";"ok";"fetched";"2025-10-15T07:34:09.459596+00:00"
"MCO";"ok";"fetched";"2025-10-15T07:34:13.367583+00:00"
"MDA";"ok";"fetched";"2025-10-15T07:34:18.070727+00:00"
"MDG";"ok";"fetched";"2025-10-15T07:34:24.614996+00:00"
"MDV";"ok";"fetched";"2025-10-15T07:34:35.162290+00:00"
"MEX";"ok";"fetched";"2025-10-15T07:34:37.490894+00:00"
"MHL";"ok";"fetched";"2025-10-15T07:34:44.827943+00:00"
"MKD";"ok";"fetched";"2025-10-15T07:34:47.414897+00:00"
"MLI";"ok";"fetched";"2025-10-15T07:34:50.271396+00:00"
"MLT";"ok";"fetched";"2025-10-15T07:34:53.471990+00:00"
"MMR";"ok";"fetched";"2025-10-15T07:34:55.631570+00:00"
"MNE";"ok";"fetched";"2025-10-15T07:34:58.339248+00:00"
"MNG";"ok";"fetched";"2025-10-15T07:35:02.769436+00:00"
"MNP";"ok";"fetched";"2025-10-15T07:35:13.914863+00:00"
"MOZ";"ok";"fetched";"2025-10-15T07:35:18.183930+00:00"
"MRT";"ok";"fetched";"2025-10-15T07:35:22.166621+00:00"
"MSR";"ok";"fetched";"2025-10-15T07:35:29.607937+00:00"
"MTQ";"ok";"fetched";"2025-10-15T07:35:31.625022+00:00"
"MUS";"ok";"fetched";"2025-10-15T07:35:34.243757+00:00"
"MWI";"ok";"fetched";"2025-10-15T07:35:38.341680+00:00"
"MYS";"ok";"fetched";"2025-10-15T07:35:41.101992+00:00"
"MYT";"ok";"fetched";"2025-10-15T07:35:43.661420+00:00"
"NAM";"ok";"fetched";"2025-10-15T07:35:46.348664+00:00"
"NCL";"ok";"fetched";"2025-10-15T07:35:52.967843+00:00"
"NER";"ok";"fetched";"2025-10-15T07:35:59.015552+00:00"
"NFK";"ok";"fetched";"2025-10-15T07:36:07.986678+00:00"
"NGA";"ok";"fetched";"2025-10-15T07:36:10.483133+00:00"
"NIC";"ok";"fetched";"2025-10-15T07:36:13.536058+00:00"
