iso3,country_qid,form_qid,start,end,is_monarchy,country_pt,country_en,form_pt,form_en,start_year,end_year
LAO,http://www.wikidata.org/entity/Q819,http://www.wikidata.org/entity/Q465613,,,0,Laos,Laos,república popular,people's republic,,
LBY,http://www.wikidata.org/entity/Q1016,http://www.wikidata.org/entity/Q7270,,,0,Líbia,Libya,república,republic,,
LIE,http://www.wikidata.org/entity/Q347,http://www.wikidata.org/entity/Q41614,,,0,Liechtenstein,Liechtenstein,monarquia constitucional,constitutional monarchy,,
LCA,http://www.wikidata.org/entity/Q760,http://www.wikidata.org/entity/Q41614,,,0,Santa Lúcia,Saint Lucia,monarquia constitucional,constitutional monarchy,,
LSO,http://www.wikidata.org/entity/Q1013,http://www.wikidata.org/entity/Q41614,,,0,Lesoto,Lesotho,monarquia constitucional,constitutional monarchy,,
LTU,http://www.wikidata.org/entity/Q37,http://www.wikidata.org/entity/Q4198907,,,0,Lituânia,Lithuania,república parlamentarista,parliamentary republic,,
LTU,http://www.wikidata.org/entity/Q37,http://www.wikidata.org/entity/Q49890,,,0,Lituânia,Lithuania,semipresidencialismo,semi-presidential system,,
LVA,http://www.wikidata.org/entity/Q211,http://www.wikidata.org/entity/Q7270,,,0,Letónia,Latvia,república,republic,,
LVA,http://www.wikidata.org/entity/Q211,http://www.wikidata.org/entity/Q4198907,,,0,Letónia,Latvia,república parlamentarista,parliamentary republic,,
LUX,http://www.wikidata.org/entity/Q32,http://www.wikidata.org/entity/Q41614,,,0,Luxemburgo,Luxembourg,monarquia constitucional,constitutional monarchy,,
MAR,http://www.wikidata.org/entity/Q1028,http://www.wikidata.org/entity/Q41614,,,0,Marrocos,Morocco,monarquia constitucional,constitutional monarchy,,
MCO,http://www.wikidata.org/entity/Q235,http://www.wikidata.org/entity/Q849242,,,0,Mónaco,Monaco,monarquia hereditária,hereditary monarchy,,
MCO,http://www.wikidata.org/entity/Q235,http://www.wikidata.org/entity/Q41614,,,0,Mónaco,Monaco,monarquia constitucional,constitutional monarchy,,
MDA,http://www.wikidata.org/entity/Q217,http://www.wikidata.org/entity/Q4198907,,,0,Moldávia,Moldova,república parlamentarista,parliamentary republic,,
MDG,http://www.wikidata.org/entity/Q1019,http://www.wikidata.org/entity/Q7270,,,0,Madagáscar,Madagascar,república,republic,,
MEX,http://www.wikidata.org/entity/Q96,http://www.wikidata.org/entity/Q512187,,,0,México,Mexico,república federal,federal republic,,
MKD,http://www.wikidata.org/entity/Q221,http://www.wikidata.org/entity/Q4198907,,,0,Macedónia do Norte,North Macedonia,república parlamentarista,parliamentary republic,,
MLT,http://www.wikidata.org/entity/Q233,http://www.wikidata.org/entity/Q3043547,,,0,Malta,Malta,democracia parlamentar,parliamentary democracy,,
MMR,http://www.wikidata.org/entity/Q836,http://www.wikidata.org/entity/Q7270,,,0,Myanmar,Myanmar,república,republic,,
MNE,http://www.wikidata.org/entity/Q236,http://www.wikidata.org/entity/Q7270,,,0,Montenegro,Montenegro,república,republic,,
MNG,http://www.wikidata.org/entity/Q711,http://www.wikidata.org/entity/Q166747,,,0,Mongólia,Mongolia,,parliamentary system,,
MUS,http://www.wikidata.org/entity/Q1027,http://www.wikidata.org/entity/Q4198907,,,0,Maurícia,Mauritius,república parlamentarista,parliamentary republic,,
MYS,http://www.wikidata.org/entity/Q833,http://www.wikidata.org/entity/Q584683,,,0,Malásia,Malaysia,monarquia eletiva,elective monarchy,,
MYS,http://www.wikidata.org/entity/Q833,http://www.wikidata.org/entity/Q41614,,,0,Malásia,Malaysia,monarquia constitucional,constitutional monarchy,,
MYS,http://www.wikidata.org/entity/Q833,http://www.wikidata.org/entity/Q3330103,,,0,Malásia,Malaysia,monarquia parlamentarista,parliamentary monarchy,,
MYS,http://www.wikidata.org/entity/Q833,http://www.wikidata.org/entity/Q3208952,,,0,Malásia,Malaysia,monarquia federal,federal monarchy,,
NGA,http://www.wikidata.org/entity/Q1033,http://www.wikidata.org/entity/Q512187,,,0,Nigéria,Nigeria,república federal,federal republic,,
NIC,http://www.wikidata.org/entity/Q811,http://www.wikidata.org/entity/Q7270,,,0,Nicarágua,Nicaragua,república,republic,,
NLD,http://www.wikidata.org/entity/Q29999,http://www.wikidata.org/entity/Q41614,,,0,Reino dos Países Baixos,Kingdom of the Netherlands,monarquia constitucional,constitutional monarchy,,
