iso3,country_qid,monarch_qid,position_qid,house_qid,start,end,country_pt,country_en,monarch_pt,monarch_en,position_pt,position_en,house_pt,house_en,start_year,end_year
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q24074765,http://www.wikidata.org/entity/Q49967564,,1257-08-18T00:00:00Z,1269-01-01T00:00:00Z,,,,Abril Pérez Peláez,,,,,1257,1269
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q3375281,http://www.wikidata.org/entity/Q49967564,,1269-11-10T00:00:00Z,1293-01-19T00:00:00Z,,,,,,,,,1269,1293
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q3375281,http://www.wikidata.org/entity/Q19808790,,1278-01-01T00:00:00Z,1293-01-19T00:00:00Z,,,,,,,,,1278,1293
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q633333,http://www.wikidata.org/entity/Q19808845,http://www.wikidata.org/entity/Q18127840,1278-01-01T00:00:00Z,1302-03-11T00:00:00Z,,,,"Roger-Bernard III, Count of Foix",,French co-prince of Andorra,,,1278,1302
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11924928,http://www.wikidata.org/entity/Q49967564,,1295-12-26T00:00:00Z,1308-11-11T00:00:00Z,,,,,,,,,1295,1308
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q726943,http://www.wikidata.org/entity/Q19808845,http://www.wikidata.org/entity/Q18127840,1302-01-01T00:00:00Z,1315-12-21T00:00:00Z,,,Gaston Ier de Foix-Béarn,"Gaston I, Count of Foix",,French co-prince of Andorra,,,1302,1315
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q55631158,http://www.wikidata.org/entity/Q19808790,,1308-08-06T00:00:00Z,1326-05-20T00:00:00Z,,,,Ramon Trebaylla,,,,,1308,1326
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q55631158,http://www.wikidata.org/entity/Q49967564,,1309-08-06T00:00:00Z,1326-05-20T00:00:00Z,,,,Ramon Trebaylla,,,,,1309,1326
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q612148,http://www.wikidata.org/entity/Q19808845,http://www.wikidata.org/entity/Q1245614,1315-01-01T00:00:00Z,1343-10-04T00:00:00Z,,,,,,French co-prince of Andorra,,,1315,1343
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q55604220,http://www.wikidata.org/entity/Q19808790,,1326-01-01T00:00:00Z,1341-01-01T00:00:00Z,,,,,,,,,1326,1341
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q55604220,http://www.wikidata.org/entity/Q49967564,,1326-07-05T00:00:00Z,1341-10-11T00:00:00Z,,,,,,,,,1326,1341
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q69818334,http://www.wikidata.org/entity/Q19808790,http://www.wikidata.org/entity/Q1110434,1341-12-25T00:00:00Z,1347-01-01T00:00:00Z,,,,,,,,,1341,1347
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q386816,http://www.wikidata.org/entity/Q19808845,http://www.wikidata.org/entity/Q1245614,1343-10-04T00:00:00Z,1391-08-09T00:00:00Z,,,Gastão III Febus,"Gaston III, Count of Foix",,French co-prince of Andorra,,,1343,1391
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q881087,http://www.wikidata.org/entity/Q19808790,http://www.wikidata.org/entity/Q3065004,1348-06-21T00:00:00Z,1350-12-25T00:00:00Z,,,,,,,,Capocci,1348,1350
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q64763202,http://www.wikidata.org/entity/Q19808790,,1351-11-02T00:00:00Z,1361-02-28T00:00:00Z,,,,,,,,,1351,1361
