# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
2080-07-01,19.657867,2.7317905,EC-Earth3,ssp370,2080
2081-07-01,18.233414,1.3073368,EC-Earth3,ssp370,2081
2082-07-01,18.16353,1.2374535,EC-Earth3,ssp370,2082
2083-07-01,18.507982,1.5819054,EC-Earth3,ssp370,2083
2084-07-01,19.201738,2.2756615,EC-Earth3,ssp370,2084
2085-07-01,19.385855,2.4597778,EC-Earth3,ssp370,2085
2086-07-01,18.867846,1.9417686,EC-Earth3,ssp370,2086
2087-07-01,18.793213,1.867136,EC-Earth3,ssp370,2087
2088-07-01,18.747358,1.8212814,EC-Earth3,ssp370,2088
2089-07-01,19.13614,2.210064,EC-Earth3,ssp370,2089
2090-07-01,18.483452,1.557375,EC-Earth3,ssp370,2090
2091-07-01,19.331076,2.4049988,EC-Earth3,ssp370,2091
2092-07-01,18.712755,1.7866783,EC-Earth3,ssp370,2092
2093-07-01,18.621264,1.6951866,EC-Earth3,ssp370,2093
2094-07-01,20.43466,3.508583,EC-Earth3,ssp370,2094
2095-07-01,19.712145,2.786068,EC-Earth3,ssp370,2095
2096-07-01,20.386988,3.4609108,EC-Earth3,ssp370,2096
2097-07-01,18.192726,1.2666492,EC-Earth3,ssp370,2097
2098-07-01,19.279634,2.3535576,EC-Earth3,ssp370,2098
2099-07-01,19.270744,2.3446674,EC-Earth3,ssp370,2099
2100-07-01,20.565613,3.639536,EC-Earth3,ssp370,2100
2015-07-01,16.254644,-0.08191109,EC-Earth3,ssp585,2015
2016-07-01,15.939293,-0.39726257,EC-Earth3,ssp585,2016
2017-07-01,16.189875,-0.14668083,EC-Earth3,ssp585,2017
2018-07-01,16.906837,0.570282,EC-Earth3,ssp585,2018
2019-07-01,16.323347,-0.013208389,EC-Earth3,ssp585,2019
2020-07-01,16.405334,0.06877899,EC-Earth3,ssp585,2020
2021-07-01,17.211424,0.8748684,EC-Earth3,ssp585,2021
2022-07-01,16.90127,0.56471443,EC-Earth3,ssp585,2022
2023-07-01,17.327532,0.99097633,EC-Earth3,ssp585,2023
2024-07-01,16.821665,0.48510933,EC-Earth3,ssp585,2024
2025-07-01,17.305506,0.9689503,EC-Earth3,ssp585,2025
2026-07-01,16.373129,0.03657341,EC-Earth3,ssp585,2026
2027-07-01,17.406069,1.0695133,EC-Earth3,ssp585,2027
2028-07-01,16.982908,0.64635277,EC-Earth3,ssp585,2028
2029-07-01,16.95814,0.62158394,EC-Earth3,ssp585,2029
2030-07-01,16.819147,0.48259163,EC-Earth3,ssp585,2030
2031-07-01,16.583748,0.24719238,EC-Earth3,ssp585,2031
2032-07-01,16.994204,0.6576481,EC-Earth3,ssp585,2032
2033-07-01,17.174093,0.83753777,EC-Earth3,ssp585,2033
2034-07-01,16.817537,0.48098183,EC-Earth3,ssp585,2034
2035-07-01,17.386316,1.0497608,EC-Earth3,ssp585,2035
2036-07-01,17.727217,1.3906612,EC-Earth3,ssp585,2036
2037-07-01,17.752426,1.4158707,EC-Earth3,ssp585,2037
2038-07-01,17.448954,1.1123981,EC-Earth3,ssp585,2038
2039-07-01,17.472427,1.1358719,EC-Earth3,ssp585,2039
2040-07-01,17.66844,1.3318844,EC-Earth3,ssp585,2040
2041-07-01,18.470488,2.133932,EC-Earth3,ssp585,2041
2042-07-01,17.899183,1.5626278,EC-Earth3,ssp585,2042
2043-07-01,17.664787,1.3282318,EC-Earth3,ssp585,2043
2044-07-01,17.491068,1.1545124,EC-Earth3,ssp585,2044
2045-07-01,17.915846,1.5792904,EC-Earth3,ssp585,2045
2046-07-01,17.610075,1.2735195,EC-Earth3,ssp585,2046
2047-07-01,18.68119,2.344635,EC-Earth3,ssp585,2047
